seq,machine,type,op,start,end,duration
1,0,2,0,0.0,87.0,87.0
2,0,2,0,87.0,174.0,87.0
3,0,4,0,174.0,302.0,128.0
4,0,1,0,302.0,516.0,214.0
5,0,3,0,516.0,603.0,87.0
6,0,0,0,603.0,850.0,247.0
7,0,2,0,850.0,937.0,87.0
8,0,2,0,937.0,1024.0,87.0
9,0,4,0,1024.0,1152.0,128.0
10,0,4,0,1152.0,1280.0,128.0
11,0,2,0,1280.0,1367.0,87.0
12,0,2,0,1367.0,1454.0,87.0
13,0,4,0,1454.0,1582.0,128.0
14,0,3,0,1582.0,1669.0,87.0
15,0,2,0,1669.0,1756.0,87.0
16,0,2,0,1756.0,1843.0,87.0
17,0,1,0,1843.0,2057.0,214.0
18,0,4,0,2057.0,2185.0,128.0
19,0,0,0,2185.0,2432.0,247.0
20,0,3,0,2432.0,2519.0,87.0
21,0,2,0,2519.0,2606.0,87.0
22,0,4,0,2606.0,2734.0,128.0
23,0,2,0,2734.0,2821.0,87.0
24,0,2,0,2821.0,2908.0,87.0
25,0,4,0,2908.0,3036.0,128.0
26,0,0,0,3036.0,3283.0,247.0
27,0,2,0,3283.0,3370.0,87.0
28,0,3,0,3370.0,3457.0,87.0
29,0,4,0,3457.0,3585.0,128.0
30,0,2,0,3585.0,3672.0,87.0
31,0,1,0,3672.0,3886.0,214.0
32,0,2,0,3886.0,3973.0,87.0
33,0,4,0,3973.0,4101.0,128.0
34,0,2,0,4101.0,4188.0,87.0
35,0,3,0,4188.0,4275.0,87.0
36,0,2,0,4275.0,4362.0,87.0
37,0,4,0,4362.0,4490.0,128.0
38,0,1,0,4490.0,4704.0,214.0
39,0,2,0,4704.0,4791.0,87.0
40,0,4,0,4791.0,4919.0,128.0
41,0,2,0,4919.0,5006.0,87.0
42,0,0,0,5006.0,5253.0,247.0
43,0,3,0,5253.0,5340.0,87.0
44,0,2,0,5340.0,5427.0,87.0
45,0,1,0,5427.0,5641.0,214.0
46,0,4,0,5641.0,5769.0,128.0
47,0,2,0,5769.0,5856.0,87.0
48,0,3,0,5856.0,5943.0,87.0
49,0,4,0,5943.0,6071.0,128.0
50,0,2,0,6071.0,6158.0,87.0
51,0,0,0,6158.0,6405.0,247.0
52,0,2,0,6405.0,6492.0,87.0
53,0,4,0,6492.0,6620.0,128.0
54,0,2,0,6620.0,6707.0,87.0
55,0,0,0,6707.0,6954.0,247.0
56,0,4,0,6954.0,7082.0,128.0
57,0,2,0,7082.0,7169.0,87.0
58,0,1,0,7169.0,7383.0,214.0
59,0,3,0,7383.0,7470.0,87.0
60,0,2,0,7470.0,7557.0,87.0
61,0,4,0,7557.0,7685.0,128.0
62,0,2,0,7685.0,7772.0,87.0
63,0,2,0,7772.0,7859.0,87.0
64,0,1,0,7859.0,8073.0,214.0
65,0,2,0,8073.0,8160.0,87.0
66,0,4,0,8160.0,8288.0,128.0
67,0,3,0,8288.0,8375.0,87.0
68,0,2,0,8375.0,8462.0,87.0
69,0,4,0,8462.0,8590.0,128.0
70,0,2,0,8590.0,8677.0,87.0
71,0,2,0,8677.0,8764.0,87.0
72,0,0,0,8764.0,9011.0,247.0
73,0,3,0,9011.0,9098.0,87.0
74,0,2,0,9098.0,9185.0,87.0
75,0,4,0,9185.0,9313.0,128.0
76,0,4,0,9313.0,9441.0,128.0
77,0,2,0,9441.0,9528.0,87.0
78,0,3,0,9528.0,9615.0,87.0
79,0,1,0,9615.0,9829.0,214.0
80,0,0,0,9829.0,10076.0,247.0
81,0,4,0,10076.0,10204.0,128.0
82,0,2,0,10204.0,10291.0,87.0
83,0,0,0,10291.0,10538.0,247.0
84,0,2,0,10538.0,10625.0,87.0
85,0,2,0,10625.0,10712.0,87.0
86,0,3,0,10712.0,10799.0,87.0
87,0,4,0,10799.0,10927.0,128.0
88,0,4,0,10927.0,11055.0,128.0
89,0,4,0,11055.0,11183.0,128.0
90,0,1,0,11183.0,11397.0,214.0
91,0,2,0,11397.0,11484.0,87.0
92,0,2,0,11484.0,11571.0,87.0
93,0,3,0,11571.0,11658.0,87.0
94,0,2,0,11658.0,11745.0,87.0
95,0,4,0,11745.0,11873.0,128.0
96,0,1,0,11873.0,12087.0,214.0
97,0,2,0,12087.0,12174.0,87.0
98,0,2,0,12174.0,12261.0,87.0
99,0,4,0,12261.0,12389.0,128.0
100,0,3,0,12389.0,12476.0,87.0
101,0,0,0,12476.0,12723.0,247.0
102,0,4,0,12723.0,12851.0,128.0
103,0,2,0,12851.0,12938.0,87.0
104,0,2,0,12938.0,13025.0,87.0
105,0,4,0,13025.0,13153.0,128.0
106,0,2,0,13153.0,13240.0,87.0
107,0,4,0,13240.0,13368.0,128.0
108,0,2,0,13368.0,13455.0,87.0
109,0,2,0,13455.0,13542.0,87.0
110,0,0,0,13542.0,13789.0,247.0
111,0,4,0,13789.0,13917.0,128.0
112,0,2,0,13917.0,14004.0,87.0
113,1,10,0,0.0,150.0,150.0
114,1,10,0,150.0,300.0,150.0
115,1,8,0,300.0,450.0,150.0
116,1,10,0,450.0,600.0,150.0
117,1,11,0,600.0,957.0,357.0
118,1,1,1,957.0,1023.0,66.0
119,1,8,0,1023.0,1173.0,150.0
120,1,10,0,1173.0,1323.0,150.0
121,1,11,0,1323.0,1680.0,357.0
122,1,8,0,1680.0,1830.0,150.0
123,1,10,0,1830.0,1980.0,150.0
124,1,11,0,1980.0,2337.0,357.0
125,1,10,0,2337.0,2487.0,150.0
126,1,11,0,2487.0,2844.0,357.0
127,1,8,0,2844.0,2994.0,150.0
128,1,1,1,2994.0,3060.0,66.0
129,1,10,0,3060.0,3210.0,150.0
130,1,11,0,3210.0,3567.0,357.0
131,1,11,0,3567.0,3924.0,357.0
132,1,8,0,3924.0,4074.0,150.0
133,1,10,0,4074.0,4224.0,150.0
134,1,11,0,4224.0,4581.0,357.0
135,1,10,0,4581.0,4731.0,150.0
