seq,machine,type,op,start,end,duration
1,0,1,0,0.0,214.0,214.0
2,0,1,0,214.0,428.0,214.0
3,0,1,0,428.0,642.0,214.0
4,0,4,0,642.0,770.0,128.0
5,0,1,0,770.0,984.0,214.0
6,0,3,0,984.0,1071.0,87.0
7,0,1,0,1071.0,1285.0,214.0
8,0,4,0,1285.0,1413.0,128.0
9,0,3,0,1413.0,1500.0,87.0
10,0,3,0,1500.0,1587.0,87.0
11,0,1,0,1587.0,1801.0,214.0
12,0,3,0,1801.0,1888.0,87.0
13,0,1,0,1888.0,2102.0,214.0
14,0,4,0,2102.0,2230.0,128.0
15,0,1,0,2230.0,2444.0,214.0
16,0,3,0,2444.0,2531.0,87.0
17,0,1,0,2531.0,2745.0,214.0
18,0,3,0,2745.0,2832.0,87.0
19,0,4,0,2832.0,2960.0,128.0
20,0,1,0,2960.0,3174.0,214.0
21,0,3,0,3174.0,3261.0,87.0
22,0,4,0,3261.0,3389.0,128.0
23,0,1,0,3389.0,3603.0,214.0
24,0,1,0,3603.0,3817.0,214.0
25,0,3,0,3817.0,3904.0,87.0
26,0,3,0,3904.0,3991.0,87.0
27,0,1,0,3991.0,4205.0,214.0
28,0,3,0,4205.0,4292.0,87.0
29,0,1,0,4292.0,4506.0,214.0
30,0,4,0,4506.0,4634.0,128.0
31,0,3,0,4634.0,4721.0,87.0
32,0,1,0,4721.0,4935.0,214.0
33,0,3,0,4935.0,5022.0,87.0
34,0,1,0,5022.0,5236.0,214.0
35,0,4,0,5236.0,5364.0,128.0
36,0,3,0,5364.0,5451.0,87.0
37,0,1,0,5451.0,5665.0,214.0
38,0,3,0,5665.0,5752.0,87.0
39,0,1,0,5752.0,5966.0,214.0
40,0,0,0,5966.0,6213.0,247.0
41,0,4,0,6213.0,6341.0,128.0
42,0,3,0,6341.0,6428.0,87.0
43,0,1,0,6428.0,6642.0,214.0
44,0,3,0,6642.0,6729.0,87.0
45,0,1,0,6729.0,6943.0,214.0
46,0,4,0,6943.0,7071.0,128.0
47,0,3,0,7071.0,7158.0,87.0
48,0,1,0,7158.0,7372.0,214.0
49,0,4,0,7372.0,7500.0,128.0
50,0,3,0,7500.0,7587.0,87.0
51,0,1,0,7587.0,7801.0,214.0
52,0,3,0,7801.0,7888.0,87.0
53,0,1,0,7888.0,8102.0,214.0
54,0,3,0,8102.0,8189.0,87.0
55,0,1,0,8189.0,8403.0,214.0
56,0,3,0,8403.0,8490.0,87.0
57,0,0,0,8490.0,8737.0,247.0
58,0,4,0,8737.0,8865.0,128.0
59,0,1,0,8865.0,9079.0,214.0
60,0,0,0,9079.0,9326.0,247.0
61,0,4,0,9326.0,9454.0,128.0
62,0,3,0,9454.0,9541.0,87.0
63,0,1,0,9541.0,9755.0,214.0
64,0,0,0,9755.0,10002.0,247.0
65,0,3,0,10002.0,10089.0,87.0
66,0,1,0,10089.0,10303.0,214.0
67,0,3,0,10303.0,10390.0,87.0
