seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,4,0,0.0,128.0,128.0
2,1,M1,2,0,128.0,215.0,87.0
3,1,M1,1,0,215.0,429.0,214.0
4,1,M1,4,0,429.0,557.0,128.0
5,1,M1,2,0,557.0,644.0,87.0
6,1,M1,4,0,644.0,772.0,128.0
7,1,M1,1,0,772.0,986.0,214.0
8,1,M1,2,0,986.0,1073.0,87.0
9,1,M1,4,0,1073.0,1201.0,128.0
10,1,M1,4,0,1201.0,1329.0,128.0
11,1,M1,2,0,1329.0,1416.0,87.0
12,1,M1,1,0,1416.0,1630.0,214.0
13,1,M1,4,0,1630.0,1758.0,128.0
14,1,M1,2,0,1758.0,1845.0,87.0
15,1,M1,1,0,1845.0,2059.0,214.0
16,1,M1,4,0,2059.0,2187.0,128.0
17,1,M1,2,0,2187.0,2274.0,87.0
18,1,M1,4,0,2274.0,2402.0,128.0
19,1,M1,1,0,2402.0,2616.0,214.0
20,1,M1,0,0,2616.0,2863.0,247.0
21,1,M1,4,0,2863.0,2991.0,128.0
22,1,M1,2,0,2991.0,3078.0,87.0
23,1,M1,1,0,3078.0,3292.0,214.0
24,1,M1,4,0,3292.0,3420.0,128.0
25,1,M1,2,0,3420.0,3507.0,87.0
26,1,M1,0,0,3507.0,3754.0,247.0
27,1,M1,4,0,3754.0,3882.0,128.0
28,1,M1,1,0,3882.0,4096.0,214.0
29,1,M1,2,0,4096.0,4183.0,87.0
30,1,M1,4,0,4183.0,4311.0,128.0
31,1,M1,4,0,4311.0,4439.0,128.0
32,1,M1,1,0,4439.0,4653.0,214.0
33,1,M1,2,0,4653.0,4740.0,87.0
34,1,M1,4,0,4740.0,4868.0,128.0
35,1,M1,1,0,4868.0,5082.0,214.0
36,1,M1,2,0,5082.0,5169.0,87.0
37,1,M1,4,0,5169.0,5297.0,128.0
38,1,M1,4,0,5297.0,5425.0,128.0
39,1,M1,2,0,5425.0,5512.0,87.0
40,1,M1,1,0,5512.0,5726.0,214.0
41,1,M1,4,0,5726.0,5854.0,128.0
42,1,M1,2,0,5854.0,5941.0,87.0
43,1,M1,1,0,5941.0,6155.0,214.0
44,1,M1,4,0,6155.0,6283.0,128.0
