seq,machine,type,op,start,end,duration
1,0,4,0,0.0,128.0,128.0
2,0,1,0,128.0,342.0,214.0
3,0,2,0,342.0,429.0,87.0
4,0,1,0,429.0,643.0,214.0
5,0,3,0,643.0,730.0,87.0
6,0,4,0,730.0,858.0,128.0
7,0,2,0,858.0,945.0,87.0
8,0,4,0,945.0,1073.0,128.0
9,0,1,0,1073.0,1287.0,214.0
10,0,1,0,1287.0,1501.0,214.0
11,0,2,0,1501.0,1588.0,87.0
12,0,3,0,1588.0,1675.0,87.0
13,0,2,0,1675.0,1762.0,87.0
14,0,4,0,1762.0,1890.0,128.0
15,0,1,0,1890.0,2104.0,214.0
16,0,1,0,2104.0,2318.0,214.0
17,0,4,0,2318.0,2446.0,128.0
18,0,2,0,2446.0,2533.0,87.0
19,0,4,0,2533.0,2661.0,128.0
20,0,3,0,2661.0,2748.0,87.0
21,0,1,0,2748.0,2962.0,214.0
22,0,1,0,2962.0,3176.0,214.0
23,0,2,0,3176.0,3263.0,87.0
24,0,1,0,3263.0,3477.0,214.0
25,0,4,0,3477.0,3605.0,128.0
26,0,2,0,3605.0,3692.0,87.0
27,0,3,0,3692.0,3779.0,87.0
28,0,4,0,3779.0,3907.0,128.0
29,0,1,0,3907.0,4121.0,214.0
30,0,1,0,4121.0,4335.0,214.0
31,0,2,0,4335.0,4422.0,87.0
32,0,2,0,4422.0,4509.0,87.0
33,0,4,0,4509.0,4637.0,128.0
34,0,3,0,4637.0,4724.0,87.0
35,0,1,0,4724.0,4938.0,214.0
36,0,1,0,4938.0,5152.0,214.0
37,0,4,0,5152.0,5280.0,128.0
38,0,4,0,5280.0,5408.0,128.0
39,0,2,0,5408.0,5495.0,87.0
40,0,1,0,5495.0,5709.0,214.0
41,0,3,0,5709.0,5796.0,87.0
42,0,2,0,5796.0,5883.0,87.0
43,0,1,0,5883.0,6097.0,214.0
44,0,4,0,6097.0,6225.0,128.0
45,0,1,0,6225.0,6439.0,214.0
46,0,2,0,6439.0,6526.0,87.0
47,0,1,0,6526.0,6740.0,214.0
48,0,3,0,6740.0,6827.0,87.0
49,0,4,0,6827.0,6955.0,128.0
50,0,2,0,6955.0,7042.0,87.0
51,0,4,0,7042.0,7170.0,128.0
52,0,1,0,7170.0,7384.0,214.0
53,0,1,0,7384.0,7598.0,214.0
54,0,2,0,7598.0,7685.0,87.0
55,0,3,0,7685.0,7772.0,87.0
56,0,4,0,7772.0,7900.0,128.0
57,0,4,0,7900.0,8028.0,128.0
58,0,1,0,8028.0,8242.0,214.0
59,0,2,0,8242.0,8329.0,87.0
60,0,1,0,8329.0,8543.0,214.0
61,0,2,0,8543.0,8630.0,87.0
62,0,3,0,8630.0,8717.0,87.0
63,0,4,0,8717.0,8845.0,128.0
64,0,1,0,8845.0,9059.0,214.0
65,0,1,0,9059.0,9273.0,214.0
66,0,2,0,9273.0,9360.0,87.0
67,0,4,0,9360.0,9488.0,128.0
68,0,4,0,9488.0,9616.0,128.0
69,0,3,0,9616.0,9703.0,87.0
70,0,2,0,9703.0,9790.0,87.0
71,0,1,0,9790.0,10004.0,214.0
72,0,1,0,10004.0,10218.0,214.0
73,0,2,0,10218.0,10305.0,87.0
74,0,1,0,10305.0,10519.0,214.0
75,0,4,0,10519.0,10647.0,128.0
76,0,3,0,10647.0,10734.0,87.0
77,0,2,0,10734.0,10821.0,87.0
78,0,1,0,10821.0,11035.0,214.0
79,0,4,0,11035.0,11163.0,128.0
80,0,2,0,11163.0,11250.0,87.0
81,0,4,0,11250.0,11378.0,128.0
82,0,1,0,11378.0,11592.0,214.0
83,0,1,0,11592.0,11806.0,214.0
84,0,3,0,11806.0,11893.0,87.0
85,0,2,0,11893.0,11980.0,87.0
86,0,4,0,11980.0,12108.0,128.0
87,0,1,0,12108.0,12322.0,214.0
88,0,2,0,12322.0,12409.0,87.0
89,0,4,0,12409.0,12537.0,128.0
90,0,2,0,12537.0,12624.0,87.0
91,0,1,0,12624.0,12838.0,214.0
92,0,3,0,12838.0,12925.0,87.0
93,0,1,0,12925.0,13139.0,214.0
94,0,4,0,13139.0,13267.0,128.0
95,0,3,0,13267.0,13354.0,87.0
96,0,2,0,13354.0,13441.0,87.0
97,0,1,0,13441.0,13655.0,214.0
98,0,1,0,13655.0,13869.0,214.0
99,0,4,0,13869.0,13997.0,128.0
100,0,4,0,13997.0,14125.0,128.0
101,0,3,0,14125.0,14212.0,87.0
102,0,2,0,14212.0,14299.0,87.0
103,0,1,0,14299.0,14513.0,214.0
104,0,2,0,14513.0,14600.0,87.0
105,0,1,0,14600.0,14814.0,214.0
106,0,4,0,14814.0,14942.0,128.0
107,0,4,0,14942.0,15070.0,128.0
108,0,1,0,15070.0,15284.0,214.0
109,0,3,0,15284.0,15371.0,87.0
110,0,2,0,15371.0,15458.0,87.0
111,0,1,0,15458.0,15672.0,214.0
112,0,2,0,15672.0,15759.0,87.0
113,0,1,0,15759.0,15973.0,214.0
114,0,4,0,15973.0,16101.0,128.0
115,0,0,0,16101.0,16348.0,247.0
116,0,1,0,16348.0,16562.0,214.0
117,0,2,0,16562.0,16649.0,87.0
118,0,4,0,16649.0,16777.0,128.0
119,0,4,0,16777.0,16905.0,128.0
120,0,2,0,16905.0,16992.0,87.0
121,0,3,0,16992.0,17079.0,87.0
122,0,1,0,17079.0,17293.0,214.0
123,0,1,0,17293.0,17507.0,214.0
124,0,1,0,17507.0,17721.0,214.0
125,0,4,0,17721.0,17849.0,128.0
126,0,2,0,17849.0,17936.0,87.0
127,0,3,0,17936.0,18023.0,87.0
128,0,4,0,18023.0,18151.0,128.0
129,0,1,0,18151.0,18365.0,214.0
130,0,2,0,18365.0,18452.0,87.0
131,0,2,0,18452.0,18539.0,87.0
132,0,1,0,18539.0,18753.0,214.0
133,0,4,0,18753.0,18881.0,128.0
134,0,1,0,18881.0,19095.0,214.0
135,0,3,0,19095.0,19182.0,87.0
136,0,4,0,19182.0,19310.0,128.0
137,0,2,0,19310.0,19397.0,87.0
138,0,1,0,19397.0,19611.0,214.0
139,1,8,0,0.0,150.0,150.0
140,1,8,0,150.0,300.0,150.0
141,1,4,2,300.0,400.0,100.0
142,1,1,1,400.0,466.0,66.0
143,1,5,0,466.0,611.0,145.0
144,1,6,0,611.0,768.0,157.0
145,1,1,1,768.0,834.0,66.0
146,1,8,0,834.0,984.0,150.0
147,1,8,0,984.0,1134.0,150.0
148,1,4,2,1134.0,1234.0,100.0
149,1,0,1,1234.0,1364.0,130.0
150,1,1,1,1364.0,1430.0,66.0
