seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,0,0,0.0,147.0,147.0
2,1,M1,0,0,147.0,294.0,147.0
3,1,M1,1,0,294.0,508.0,214.0
4,1,M1,1,0,508.0,722.0,214.0
5,1,M1,1,0,722.0,936.0,214.0
6,1,M1,1,0,936.0,1150.0,214.0
7,1,M1,1,0,1150.0,1364.0,214.0
8,1,M1,0,0,1364.0,1511.0,147.0
9,1,M1,0,0,1511.0,1658.0,147.0
10,1,M1,0,0,1658.0,1805.0,147.0
11,1,M1,1,0,1805.0,2019.0,214.0
12,1,M1,1,0,2019.0,2233.0,214.0
13,1,M1,1,0,2233.0,2447.0,214.0
14,1,M1,1,0,2447.0,2661.0,214.0
15,1,M1,1,0,2661.0,2875.0,214.0
16,1,M1,0,0,2875.0,3022.0,147.0
17,1,M1,0,0,3022.0,3169.0,147.0
18,1,M1,1,0,3169.0,3383.0,214.0
19,1,M1,1,0,3383.0,3597.0,214.0
20,1,M1,1,0,3597.0,3811.0,214.0
21,1,M1,1,0,3811.0,4025.0,214.0
22,1,M1,0,0,4025.0,4172.0,147.0
23,1,M1,1,0,4172.0,4386.0,214.0
24,1,M1,1,0,4386.0,4600.0,214.0
25,1,M1,0,0,4600.0,4747.0,147.0
26,1,M1,1,0,4747.0,4961.0,214.0
27,1,M1,1,0,4961.0,5175.0,214.0
28,2,M2,3,0,0.0,65.0,65.0
29,2,M2,2,0,65.0,127.0,62.0
30,2,M2,2,0,127.0,189.0,62.0
31,2,M2,1,1,189.0,255.0,66.0
32,2,M2,0,1,255.0,385.0,130.0
33,2,M2,0,1,385.0,515.0,130.0
34,2,M2,1,1,515.0,581.0,66.0
35,2,M2,2,0,581.0,643.0,62.0
36,2,M2,2,0,643.0,705.0,62.0
37,2,M2,1,1,705.0,771.0,66.0
38,2,M2,1,1,771.0,837.0,66.0
39,2,M2,2,0,837.0,899.0,62.0
40,2,M2,2,0,899.0,961.0,62.0
41,2,M2,2,0,961.0,1023.0,62.0
42,2,M2,3,0,1023.0,1088.0,65.0
43,2,M2,3,0,1088.0,1153.0,65.0
44,2,M2,2,0,1153.0,1215.0,62.0
45,2,M2,1,1,1215.0,1281.0,66.0
46,2,M2,1,1,1281.0,1347.0,66.0
47,2,M2,2,0,1347.0,1409.0,62.0
48,2,M2,1,1,1409.0,1475.0,66.0
49,2,M2,2,0,1475.0,1537.0,62.0
