epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
5,1,5,P5,1,9.983333333333334e-05,0.05426177196204662,5198.0,4573.0,24.902551412582397,1.6146876811981201,26.517239093780518,4573.0,4573.0
29,2,5,P5,2,9.883333333333333e-05,0.034343176521360874,5030.0,5664.0,9.561611890792847,0.6843397617340088,10.245951652526855,4573.0,5118.5
53,3,5,P5,3,9.783333333333333e-05,0.023043388966470957,4923.0,5039.0,9.507759094238281,0.6842136383056641,10.191972732543945,4573.0,5092.0
77,4,5,P5,4,9.683333333333335e-05,0.022605299949645996,4910.0,4768.0,9.262903451919556,0.6254007816314697,9.888304233551025,4573.0,5011.0
101,5,5,P5,5,9.583333333333334e-05,-0.01136450213380158,4727.0,4857.0,10.21968150138855,0.7136931419372559,10.933374643325806,4573.0,4980.2
125,6,5,P5,6,9.483333333333334e-05,-0.02082323469221592,4569.0,4362.0,9.64488673210144,0.6812665462493896,10.32615327835083,4362.0,4877.166666666667
149,7,5,P5,7,9.383333333333334e-05,0.04427078925073147,4564.0,4402.0,9.649589538574219,0.6438398361206055,10.293429374694824,4362.0,4809.285714285715
173,8,5,P5,8,9.283333333333334e-05,-0.034908227622509,4451.0,4222.0,9.639369487762451,0.671783447265625,10.311152935028076,4222.0,4735.875
197,9,5,P5,9,9.183333333333333e-05,0.031033835373818874,4437.0,4287.0,9.290172100067139,0.6214354038238525,9.911607503890991,4222.0,4686.0
221,10,5,P5,10,9.083333333333334e-05,-0.012724210508167744,4322.0,4202.0,9.510644912719727,0.6296005249023438,10.14024543762207,4202.0,4637.6
245,11,5,P5,11,8.983333333333334e-05,-0.0035294819972477853,4272.0,4282.0,9.527475595474243,0.6451148986816406,10.172590494155884,4202.0,4605.272727272727
269,12,5,P5,12,8.883333333333333e-05,-0.03094422072172165,4222.0,4277.0,9.591161966323853,0.6226978302001953,10.213859796524048,4202.0,4577.916666666667
293,13,5,P5,13,8.783333333333333e-05,-0.014997439691796899,4222.0,4277.0,9.463847875595093,0.630242109298706,10.094089984893799,4202.0,4554.7692307692305
317,14,5,P5,14,8.683333333333335e-05,-0.031117531470954418,4222.0,4202.0,9.655487060546875,0.6919283866882324,10.347415447235107,4202.0,4529.571428571428
341,15,5,P5,15,8.583333333333334e-05,-0.029740778729319572,4232.0,4322.0,9.595743179321289,0.6715149879455566,10.267258167266846,4202.0,4515.733333333334
365,16,5,P5,16,8.483333333333334e-05,-0.01780262403190136,4332.0,4242.0,9.653990507125854,0.649545431137085,10.30353593826294,4202.0,4498.625
389,17,5,P5,17,8.383333333333334e-05,-0.05000689160078764,4222.0,4237.0,9.621776103973389,0.6570224761962891,10.278798580169678,4202.0,4483.235294117647
413,18,5,P5,18,8.283333333333335e-05,-0.03774560056626797,4247.0,4222.0,9.409338474273682,0.6466236114501953,10.055962085723877,4202.0,4468.722222222223
437,19,5,P5,19,8.183333333333333e-05,-0.03167013265192509,4327.0,4267.0,25.164121389389038,1.6178159713745117,26.78193736076355,4202.0,4458.105263157895
461,20,5,P5,20,8.083333333333334e-05,-0.05295181926339865,4282.0,4227.0,25.020341396331787,1.6158747673034668,26.636216163635254,4202.0,4446.55
485,21,5,P5,21,7.983333333333334e-05,-0.04797777161002159,4304.0,4307.0,24.844542503356934,1.623453140258789,26.467995643615723,4202.0,4439.9047619047615
509,22,5,P5,22,7.883333333333334e-05,-0.04452800750732422,4322.0,4267.0,24.877065658569336,1.6034619808197021,26.480527639389038,4202.0,4432.045454545455
533,23,5,P5,23,7.783333333333333e-05,-0.036308541893959045,4322.0,4292.0,24.812618255615234,1.6175227165222168,26.43014097213745,4202.0,4425.95652173913
557,24,5,P5,24,7.683333333333334e-05,-0.020981966983526945,4297.0,4222.0,25.02501630783081,1.6132280826568604,26.63824439048767,4202.0,4417.458333333333
581,25,5,P5,25,7.583333333333334e-05,-0.03543196897953749,4237.0,4222.0,24.886462450027466,1.6078381538391113,26.494300603866577,4202.0,4409.64
605,26,5,P5,26,7.483333333333333e-05,-0.01905133854597807,4277.0,4222.0,24.883837938308716,1.6153056621551514,26.499143600463867,4202.0,4402.423076923077
629,27,5,P5,27,7.383333333333333e-05,-0.021356528159230947,4277.0,4277.0,25.059086322784424,1.6175451278686523,26.676631450653076,4202.0,4397.777777777777
653,28,5,P5,28,7.283333333333333e-05,-0.031048457138240337,4292.0,4222.0,24.99968934059143,1.623595952987671,26.6232852935791,4202.0,4391.5
677,29,5,P5,29,7.183333333333334e-05,-0.0137318498454988,4217.0,4222.0,24.755066633224487,1.6153161525726318,26.37038278579712,4202.0,4385.6551724137935
701,30,5,P5,30,7.083333333333332e-05,-0.022923137992620468,4252.0,4277.0,24.91451859474182,1.6074864864349365,26.522005081176758,4202.0,4382.033333333334
725,31,5,P5,31,6.983333333333333e-05,-0.027027293108403683,4217.0,4222.0,24.939003944396973,1.6095058917999268,26.5485098361969,4202.0,4376.870967741936
749,32,5,P5,32,6.883333333333334e-05,-0.0273581319488585,4232.0,4222.0,25.07439661026001,1.608985424041748,26.683382034301758,4202.0,4372.03125
773,33,5,P5,33,6.783333333333333e-05,-0.021784194745123386,4297.0,4222.0,24.87374448776245,1.5994749069213867,26.473219394683838,4202.0,4367.484848484848
797,34,5,P5,34,6.683333333333334e-05,-0.018882854375988245,4222.0,4222.0,25.018656015396118,1.593416452407837,26.612072467803955,4202.0,4363.205882352941
821,35,5,P5,35,6.583333333333334e-05,-0.027644596993923187,4322.0,4222.0,24.994059801101685,1.6090972423553467,26.60315704345703,4202.0,4359.171428571429
845,36,5,P5,36,6.483333333333333e-05,-0.03230292163789272,4277.0,4222.0,24.894911289215088,1.6004691123962402,26.495380401611328,4202.0,4355.361111111111
869,37,5,P5,37,6.383333333333333e-05,-0.017208239529281855,4237.0,4222.0,24.9669771194458,1.5995244979858398,26.56650161743164,4202.0,4351.756756756757
893,38,5,P5,38,6.283333333333335e-05,-0.015626254258677363,4222.0,4217.0,24.892362356185913,1.6079168319702148,26.500279188156128,4202.0,4348.210526315789
917,39,5,P5,39,6.183333333333334e-05,-0.032297360710799694,4222.0,4202.0,24.922975540161133,1.613269567489624,26.536245107650757,4202.0,4344.461538461538
941,40,5,P5,40,6.083333333333334e-05,-0.02957650227472186,4322.0,4222.0,24.71272349357605,1.6065247058868408,26.31924819946289,4202.0,4341.4
965,41,5,P5,41,5.983333333333334e-05,-0.013664467027410865,4242.0,4222.0,24.766358852386475,1.5946669578552246,26.3610258102417,4202.0,4338.487804878048
989,42,5,P5,42,5.883333333333334e-05,-0.014953810023143888,4217.0,4202.0,24.46993374824524,1.6055982112884521,26.07553195953369,4202.0,4335.238095238095
1013,43,5,P5,43,5.783333333333334e-05,-0.008293693885207176,4277.0,4217.0,24.805275201797485,1.5999946594238281,26.405269861221313,4202.0,4332.488372093023
1037,44,5,P5,44,5.683333333333334e-05,-0.018027340061962605,4222.0,4202.0,24.64849281311035,1.603808879852295,26.252301692962646,4202.0,4329.522727272727
1061,45,5,P5,45,5.583333333333334e-05,-0.020904893521219492,4222.0,4202.0,24.630680322647095,1.5564625263214111,26.187142848968506,4202.0,4326.688888888889
1085,46,5,P5,46,5.4833333333333336e-05,-0.021941347047686577,4222.0,4222.0,24.617063760757446,1.6051476001739502,26.222211360931396,4202.0,4324.413043478261
1109,47,5,P5,47,5.383333333333334e-05,-0.023125492502003908,4222.0,4202.0,24.57401394844055,1.596405267715454,26.170419216156006,4202.0,4321.808510638298
1133,48,5,P5,48,5.2833333333333335e-05,-0.01173572731204331,4237.0,4202.0,24.630942344665527,1.6093089580535889,26.240251302719116,4202.0,4319.3125
1157,49,5,P5,49,5.183333333333333e-05,0.00209560216171667,4277.0,4202.0,24.754094123840332,1.6279120445251465,26.38200616836548,4202.0,4316.918367346939
1181,50,5,P5,50,5.0833333333333333e-05,-0.012661426095291972,4217.0,4202.0,9.585932731628418,0.6423962116241455,10.228328943252563,4202.0,4314.62
1205,51,5,P5,51,4.983333333333333e-05,-0.008266013581305742,4222.0,4202.0,9.39471983909607,0.6296334266662598,10.024353265762329,4202.0,4312.411764705882
1229,52,5,P5,52,4.883333333333333e-05,-0.009260448394343257,4227.0,4222.0,9.449714660644531,0.6311953067779541,10.080909967422485,4202.0,4310.673076923077
1253,53,5,P5,53,4.783333333333334e-05,0.009318590397015214,4277.0,4222.0,13.842872858047485,0.9737727642059326,14.816645622253418,4202.0,4309.0
1277,54,5,P5,54,4.683333333333334e-05,0.018775335978716612,4237.0,4222.0,24.8690984249115,1.6181418895721436,26.487240314483643,4202.0,4307.388888888889
1301,55,5,P5,55,4.583333333333334e-05,0.014613189967349172,4222.0,4202.0,24.882886171340942,1.6150898933410645,26.497976064682007,4202.0,4305.472727272727
1325,56,5,P5,56,4.483333333333334e-05,-0.0020189638598822057,4222.0,4202.0,25.029360055923462,1.663686752319336,26.693046808242798,4202.0,4303.625
1349,57,5,P5,57,4.383333333333334e-05,0.017723608762025833,4237.0,4222.0,24.858039617538452,1.5887391567230225,26.446778774261475,4202.0,4302.19298245614
1373,58,5,P5,58,4.2833333333333335e-05,0.005631623324006796,4202.0,4222.0,24.998310565948486,1.626549243927002,26.62485980987549,4202.0,4300.810344827586
1397,59,5,P5,59,4.183333333333334e-05,-0.0013287789188325405,4242.0,4217.0,24.923046350479126,1.618868350982666,26.541914701461792,4202.0,4299.389830508475
1421,60,5,P5,60,4.0833333333333334e-05,0.014896061504259706,4277.0,4217.0,28.346437215805054,1.7223939895629883,30.068831205368042,4202.0,4298.016666666666
