seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,1,0,0.0,214.0,214.0
2,1,M1,3,0,214.0,301.0,87.0
3,1,M1,2,0,301.0,388.0,87.0
4,1,M1,4,0,388.0,516.0,128.0
5,1,M1,1,0,516.0,730.0,214.0
6,1,M1,2,0,730.0,817.0,87.0
7,1,M1,4,0,817.0,945.0,128.0
8,1,M1,1,0,945.0,1159.0,214.0
9,1,M1,2,0,1159.0,1246.0,87.0
10,1,M1,0,0,1246.0,1493.0,247.0
11,1,M1,4,0,1493.0,1621.0,128.0
12,1,M1,1,0,1621.0,1835.0,214.0
13,1,M1,2,0,1835.0,1922.0,87.0
14,1,M1,0,0,1922.0,2169.0,247.0
15,1,M1,1,0,2169.0,2383.0,214.0
16,1,M1,2,0,2383.0,2470.0,87.0
17,1,M1,3,0,2470.0,2557.0,87.0
18,1,M1,4,0,2557.0,2685.0,128.0
19,1,M1,2,0,2685.0,2772.0,87.0
20,1,M1,1,0,2772.0,2986.0,214.0
21,1,M1,0,0,2986.0,3233.0,247.0
22,1,M1,4,0,3233.0,3361.0,128.0
23,1,M1,2,0,3361.0,3448.0,87.0
24,1,M1,0,0,3448.0,3695.0,247.0
25,1,M1,1,0,3695.0,3909.0,214.0
26,1,M1,0,0,3909.0,4156.0,247.0
27,1,M1,4,0,4156.0,4284.0,128.0
28,1,M1,2,0,4284.0,4371.0,87.0
29,1,M1,1,0,4371.0,4585.0,214.0
30,1,M1,2,0,4585.0,4672.0,87.0
31,1,M1,3,0,4672.0,4759.0,87.0
32,1,M1,4,0,4759.0,4887.0,128.0
33,1,M1,1,0,4887.0,5101.0,214.0
34,1,M1,2,0,5101.0,5188.0,87.0
35,1,M1,0,0,5188.0,5435.0,247.0
36,1,M1,1,0,5435.0,5649.0,214.0
37,1,M1,4,0,5649.0,5777.0,128.0
38,1,M1,2,0,5777.0,5864.0,87.0
39,1,M1,0,0,5864.0,6111.0,247.0
40,1,M1,1,0,6111.0,6325.0,214.0
41,1,M1,2,0,6325.0,6412.0,87.0
42,1,M1,4,0,6412.0,6540.0,128.0
43,1,M1,1,0,6540.0,6754.0,214.0
44,1,M1,0,0,6754.0,7001.0,247.0
45,1,M1,2,0,7001.0,7088.0,87.0
46,1,M1,4,0,7088.0,7216.0,128.0
47,1,M1,3,0,7216.0,7303.0,87.0
48,1,M1,1,0,7303.0,7517.0,214.0
49,1,M1,2,0,7517.0,7604.0,87.0
50,1,M1,0,0,7604.0,7851.0,247.0
51,1,M1,4,0,7851.0,7979.0,128.0
52,1,M1,2,0,7979.0,8066.0,87.0
53,1,M1,1,0,8066.0,8280.0,214.0
54,1,M1,0,0,8280.0,8527.0,247.0
55,1,M1,2,0,8527.0,8614.0,87.0
56,1,M1,1,0,8614.0,8828.0,214.0
57,1,M1,4,0,8828.0,8956.0,128.0
58,1,M1,2,0,8956.0,9043.0,87.0
59,1,M1,0,0,9043.0,9290.0,247.0
60,1,M1,1,0,9290.0,9504.0,214.0
61,1,M1,4,0,9504.0,9632.0,128.0
62,1,M1,3,0,9632.0,9719.0,87.0
63,1,M1,2,0,9719.0,9806.0,87.0
64,1,M1,0,0,9806.0,10053.0,247.0
65,1,M1,1,0,10053.0,10267.0,214.0
66,1,M1,2,0,10267.0,10354.0,87.0
67,1,M1,4,0,10354.0,10482.0,128.0
68,1,M1,1,0,10482.0,10696.0,214.0
69,1,M1,2,0,10696.0,10783.0,87.0
70,1,M1,4,0,10783.0,10911.0,128.0
71,1,M1,0,0,10911.0,11158.0,247.0
72,1,M1,1,0,11158.0,11372.0,214.0
