epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
1,1,1,P1,1,0.0001,0.11199356988072395,6865.0,7972.0,30.750359535217285,2.0793533325195312,32.829712867736816,7972.0,7972.0
25,2,1,P1,2,9.900000000000001e-05,0.026390742394141853,6585.0,7832.0,12.30473780632019,0.8222987651824951,13.127036571502686,7832.0,7902.0
49,3,1,P1,3,9.8e-05,-0.006567761010956019,6902.0,6472.0,12.046128273010254,0.8143022060394287,12.860430479049683,6472.0,7425.333333333333
73,4,1,P1,4,9.7e-05,-0.03978437650948763,6674.0,6432.0,12.155788660049438,0.8265388011932373,12.982327461242676,6432.0,7177.0
97,5,1,P1,5,9.6e-05,0.027173254638910294,6904.0,6314.0,11.939162969589233,0.8054845333099365,12.74464750289917,6314.0,7004.4
121,6,1,P1,6,9.5e-05,0.006938629841897637,6714.0,6324.0,11.835757493972778,0.8100888729095459,12.645846366882324,6314.0,6891.0
145,7,1,P1,7,9.4e-05,0.027179343858733773,7072.0,6234.0,11.950620412826538,0.8116862773895264,12.762306690216064,6234.0,6797.142857142857
169,8,1,P1,8,9.3e-05,-0.0003736121943802573,6374.0,6331.0,12.264275074005127,0.8382525444030762,13.102527618408203,6234.0,6738.875
193,9,1,P1,9,9.200000000000001e-05,0.020518105709925294,6418.0,6375.0,12.224557876586914,0.8488972187042236,13.073455095291138,6234.0,6698.444444444444
217,10,1,P1,10,9.1e-05,0.01946522283833474,6485.0,6355.0,11.745596408843994,0.8099002838134766,12.55549669265747,6234.0,6664.1
241,11,1,P1,11,9e-05,0.002891059786634287,6252.0,6161.0,12.386180639266968,0.9052541255950928,13.29143476486206,6161.0,6618.363636363636
265,12,1,P1,12,8.900000000000001e-05,0.0008100062732410152,6282.0,6161.0,12.073848724365234,0.7915928363800049,12.86544156074524,6161.0,6580.25
289,13,1,P1,13,8.800000000000001e-05,0.012571390601806343,6403.0,6192.0,11.885972261428833,0.7909576892852783,12.676929950714111,6161.0,6550.384615384615
313,14,1,P1,14,8.7e-05,-0.0006191231586853974,6292.0,6485.0,11.980156660079956,0.8129358291625977,12.793092489242554,6161.0,6545.714285714285
337,15,1,P1,15,8.6e-05,0.004668372479500249,6375.0,6562.0,11.594939231872559,0.7978746891021729,12.392813920974731,6161.0,6546.8
361,16,1,P1,16,8.5e-05,0.011264649918302894,6392.0,6226.0,12.658437252044678,0.7981283664703369,13.456565618515015,6161.0,6526.75
385,17,1,P1,17,8.4e-05,0.017073803930543363,6424.0,6385.0,12.126528263092041,0.8529403209686279,12.979468584060669,6161.0,6518.411764705882
409,18,1,P1,18,8.3e-05,0.011366192833520472,6321.0,6252.0,11.838566780090332,0.885791540145874,12.724358320236206,6161.0,6503.611111111111
433,19,1,P1,19,8.200000000000001e-05,0.010602495283819735,6418.0,6282.0,31.485941886901855,2.044572114944458,33.53051400184631,6161.0,6491.9473684210525
457,20,1,P1,20,8.1e-05,0.004445080616278574,6485.0,6452.0,31.621740579605103,2.050541400909424,33.672281980514526,6161.0,6489.95
481,21,1,P1,21,8e-05,-0.003763266053283587,6184.0,6444.0,31.522440910339355,2.049912214279175,33.57235312461853,6161.0,6487.761904761905
505,22,1,P1,22,7.900000000000001e-05,-0.0067854423832613975,6375.0,6454.0,31.198694944381714,2.0407934188842773,33.23948836326599,6161.0,6486.227272727273
529,23,1,P1,23,7.800000000000001e-05,-0.0037969800760038197,6215.0,6192.0,31.269375801086426,2.047126531600952,33.31650233268738,6161.0,6473.434782608696
553,24,1,P1,24,7.7e-05,-0.00015535739112237934,6474.0,6252.0,31.36161780357361,2.0440311431884766,33.405648946762085,6161.0,6464.208333333333
577,25,1,P1,25,7.6e-05,-0.017308586393482983,6162.0,6012.0,31.212093353271484,2.0496416091918945,33.26173496246338,6012.0,6446.12
601,26,1,P1,26,7.500000000000001e-05,-0.01928939705248922,6162.0,6112.0,31.513456106185913,2.068509578704834,33.58196568489075,6012.0,6433.2692307692305
625,27,1,P1,27,7.4e-05,-0.034899910911917686,5872.0,5872.0,31.912647485733032,2.0702133178710938,33.982860803604126,5872.0,6412.481481481482
649,28,1,P1,28,7.3e-05,-0.020300558069720864,6152.0,5947.0,31.48228693008423,2.078136444091797,33.560423374176025,5872.0,6395.857142857143
673,29,1,P1,29,7.2e-05,-0.015513417543843389,6199.0,6112.0,31.77981662750244,2.0516088008880615,33.8314254283905,5872.0,6386.068965517241
697,30,1,P1,30,7.1e-05,-0.006110107176937163,6239.0,6144.0,31.55570960044861,2.067577838897705,33.62328743934631,5872.0,6378.0
721,31,1,P1,31,7e-05,-0.01837172359228134,6324.0,6314.0,31.507935523986816,2.0648131370544434,33.57274866104126,5872.0,6375.935483870968
745,32,1,P1,32,6.9e-05,-0.01957566651981324,6208.0,6284.0,31.658950805664062,2.0714011192321777,33.73035192489624,5872.0,6373.0625
769,33,1,P1,33,6.8e-05,-0.008014119957806543,6284.0,6424.0,31.45073127746582,2.069106340408325,33.519837617874146,5872.0,6374.606060606061
793,34,1,P1,34,6.7e-05,-0.010505210084374994,6238.0,6215.0,31.56260371208191,2.070096731185913,33.63270044326782,5872.0,6369.911764705882
817,35,1,P1,35,6.599999999999999e-05,-0.003582090026611695,6239.0,6284.0,31.469204902648926,2.0294511318206787,33.498656034469604,5872.0,6367.457142857143
841,36,1,P1,36,6.500000000000001e-05,-0.001776061870259582,6385.0,6239.0,31.42642831802368,2.0562679767608643,33.482696294784546,5872.0,6363.888888888889
865,37,1,P1,37,6.400000000000001e-05,-0.006361646999721415,6385.0,6225.0,31.482357263565063,2.057206392288208,33.53956365585327,5872.0,6360.135135135135
889,38,1,P1,38,6.3e-05,0.00485065727843903,6334.0,6184.0,31.54683518409729,2.0624444484710693,33.60927963256836,5872.0,6355.5
913,39,1,P1,39,6.2e-05,0.005872837326023728,6375.0,6161.0,31.554202795028687,2.051926851272583,33.60612964630127,5872.0,6350.51282051282
937,40,1,P1,40,6.1e-05,-0.0019930858579755295,6385.0,6044.0,31.183056116104126,2.049207925796509,33.232264041900635,5872.0,6342.85
