seq,machine,type,op,start,end,duration
1,0,0,0,0.0,147.0,147.0
2,0,0,0,147.0,294.0,147.0
3,0,0,0,294.0,441.0,147.0
4,0,0,0,441.0,588.0,147.0
5,0,0,0,588.0,735.0,147.0
6,0,0,0,735.0,882.0,147.0
7,0,0,0,882.0,1029.0,147.0
8,0,0,0,1029.0,1176.0,147.0
9,0,0,0,1176.0,1323.0,147.0
10,0,1,0,1323.0,1537.0,214.0
11,0,1,0,1537.0,1751.0,214.0
12,0,1,0,1751.0,1965.0,214.0
13,0,1,0,1965.0,2179.0,214.0
14,0,1,0,2179.0,2393.0,214.0
15,0,1,0,2393.0,2607.0,214.0
16,0,0,0,2607.0,2754.0,147.0
17,0,1,0,2754.0,2968.0,214.0
18,0,1,0,2968.0,3182.0,214.0
19,0,0,0,3182.0,3329.0,147.0
20,0,0,0,3329.0,3476.0,147.0
21,0,0,0,3476.0,3623.0,147.0
22,0,0,0,3623.0,3770.0,147.0
23,0,1,0,3770.0,3984.0,214.0
24,0,1,0,3984.0,4198.0,214.0
25,0,0,0,4198.0,4345.0,147.0
26,0,0,0,4345.0,4492.0,147.0
27,0,0,0,4492.0,4639.0,147.0
28,0,0,0,4639.0,4786.0,147.0
29,0,0,0,4786.0,4933.0,147.0
30,0,0,0,4933.0,5080.0,147.0
31,0,1,0,5080.0,5294.0,214.0
32,0,0,0,5294.0,5441.0,147.0
33,0,0,0,5441.0,5588.0,147.0
34,0,1,0,5588.0,5802.0,214.0
35,0,1,0,5802.0,6016.0,214.0
36,0,0,0,6016.0,6163.0,147.0
37,0,0,0,6163.0,6310.0,147.0
38,0,0,0,6310.0,6457.0,147.0
39,0,0,0,6457.0,6604.0,147.0
40,0,0,0,6604.0,6751.0,147.0
41,0,0,0,6751.0,6898.0,147.0
42,0,0,0,6898.0,7045.0,147.0
43,0,0,0,7045.0,7192.0,147.0
44,0,0,0,7192.0,7339.0,147.0
45,0,0,0,7339.0,7486.0,147.0
46,1,3,0,0.0,65.0,65.0
47,1,3,0,65.0,130.0,65.0
48,1,3,0,130.0,195.0,65.0
49,1,1,1,195.0,261.0,66.0
50,1,2,0,261.0,323.0,62.0
51,1,1,1,323.0,389.0,66.0
52,1,2,0,389.0,451.0,62.0
53,1,1,1,451.0,517.0,66.0
54,1,2,0,517.0,579.0,62.0
55,1,3,0,579.0,644.0,65.0
56,1,1,1,644.0,710.0,66.0
57,1,2,0,710.0,772.0,62.0
58,1,1,1,772.0,838.0,66.0
59,1,3,0,838.0,903.0,65.0
60,1,2,0,903.0,965.0,62.0
61,1,3,0,965.0,1030.0,65.0
62,1,3,0,1030.0,1095.0,65.0
63,1,2,0,1095.0,1157.0,62.0
64,1,3,0,1157.0,1222.0,65.0
65,1,3,0,1222.0,1287.0,65.0
66,1,2,0,1287.0,1349.0,62.0
67,1,2,0,1349.0,1411.0,62.0
68,1,2,0,1411.0,1473.0,62.0
69,1,3,0,1473.0,1538.0,65.0
70,1,2,0,1538.0,1600.0,62.0
71,1,2,0,1600.0,1662.0,62.0
72,1,2,0,1662.0,1724.0,62.0
73,1,2,0,1724.0,1786.0,62.0
74,1,2,0,1786.0,1848.0,62.0
75,1,2,0,1848.0,1910.0,62.0
76,1,2,0,1910.0,1972.0,62.0
77,1,2,0,1972.0,2034.0,62.0
78,1,2,0,2034.0,2096.0,62.0
79,1,2,0,2096.0,2158.0,62.0
80,1,2,0,2158.0,2220.0,62.0
81,1,3,0,2220.0,2285.0,65.0
82,1,3,0,2285.0,2350.0,65.0
83,1,3,0,2350.0,2415.0,65.0
84,1,3,0,2415.0,2480.0,65.0
85,1,3,0,2480.0,2545.0,65.0
86,1,3,0,2545.0,2610.0,65.0
87,1,3,0,2610.0,2675.0,65.0
88,1,1,1,2675.0,2741.0,66.0
89,1,1,1,2741.0,2807.0,66.0
90,1,1,1,2807.0,2873.0,66.0
91,1,1,1,2873.0,2939.0,66.0
92,1,1,1,2939.0,3005.0,66.0
93,1,1,1,3005.0,3071.0,66.0
94,1,1,1,3071.0,3137.0,66.0
95,1,1,1,3137.0,3203.0,66.0
96,1,1,1,3203.0,3269.0,66.0
97,1,1,1,3269.0,3335.0,66.0
98,1,1,1,3335.0,3401.0,66.0
99,1,1,1,3401.0,3467.0,66.0
100,1,1,1,3467.0,3533.0,66.0
101,1,0,1,3533.0,3663.0,130.0
102,1,1,1,3663.0,3729.0,66.0
103,1,1,1,3729.0,3795.0,66.0
104,1,0,1,3795.0,3925.0,130.0
105,1,1,1,3925.0,3991.0,66.0
106,1,1,1,3991.0,4057.0,66.0
107,1,1,1,4057.0,4123.0,66.0
108,1,1,1,4123.0,4189.0,66.0
109,1,1,1,4189.0,4255.0,66.0
110,1,1,1,4255.0,4321.0,66.0
111,1,1,1,4321.0,4387.0,66.0
112,1,1,1,4387.0,4453.0,66.0
113,1,1,1,4453.0,4519.0,66.0
114,1,0,1,4519.0,4649.0,130.0
115,1,1,1,4649.0,4715.0,66.0
116,1,1,1,4715.0,4781.0,66.0
117,1,1,1,4781.0,4847.0,66.0
118,1,0,1,4847.0,4977.0,130.0
119,1,0,1,4977.0,5107.0,130.0
120,1,0,1,5107.0,5237.0,130.0
121,1,1,1,5237.0,5303.0,66.0
122,1,1,1,5303.0,5369.0,66.0
123,1,1,1,5369.0,5435.0,66.0
124,1,1,1,5435.0,5501.0,66.0
125,1,0,1,5501.0,5631.0,130.0
126,1,0,1,5631.0,5761.0,130.0
127,1,1,1,5761.0,5827.0,66.0
128,1,1,1,5827.0,5893.0,66.0
129,1,1,1,5893.0,5959.0,66.0
130,1,1,1,5959.0,6025.0,66.0
131,1,1,1,6025.0,6091.0,66.0
132,1,1,1,6091.0,6157.0,66.0
133,1,1,1,6157.0,6223.0,66.0
134,1,0,1,6223.0,6353.0,130.0
135,1,0,1,6353.0,6483.0,130.0
136,1,0,1,6483.0,6613.0,130.0
137,1,0,1,6613.0,6743.0,130.0
138,1,1,1,6743.0,6809.0,66.0
139,1,0,1,6809.0,6939.0,130.0
140,1,0,1,6939.0,7069.0,130.0
141,1,0,1,7069.0,7199.0,130.0
142,1,0,1,7199.0,7329.0,130.0
143,1,1,1,7329.0,7395.0,66.0
144,1,0,1,7395.0,7525.0,130.0
145,1,0,1,7525.0,7655.0,130.0
146,1,1,1,7655.0,7721.0,66.0
147,1,1,1,7721.0,7787.0,66.0
148,2,1,0,0.0,150.0,150.0
149,2,1,0,150.0,300.0,150.0
150,2,1,0,300.0,450.0,150.0
151,2,1,0,450.0,600.0,150.0
152,2,1,0,600.0,750.0,150.0
153,2,1,0,750.0,900.0,150.0
154,2,1,0,900.0,1050.0,150.0
155,2,1,0,1050.0,1200.0,150.0
156,2,1,0,1200.0,1350.0,150.0
157,2,1,0,1350.0,1500.0,150.0
158,2,1,0,1500.0,1650.0,150.0
159,2,1,0,1650.0,1800.0,150.0
160,2,1,0,1800.0,1950.0,150.0
161,2,1,0,1950.0,2100.0,150.0
162,2,1,0,2100.0,2250.0,150.0
163,2,1,0,2250.0,2400.0,150.0
164,2,1,0,2400.0,2550.0,150.0
165,2,1,0,2550.0,2700.0,150.0
166,2,1,0,2700.0,2850.0,150.0
167,2,1,0,2850.0,3000.0,150.0
168,2,1,0,3000.0,3150.0,150.0
169,2,1,0,3150.0,3300.0,150.0
170,2,1,0,3300.0,3450.0,150.0
171,2,1,0,3450.0,3600.0,150.0
172,2,1,0,3600.0,3750.0,150.0
173,2,1,0,3750.0,3900.0,150.0
174,2,1,0,3900.0,4050.0,150.0
175,2,1,0,4050.0,4200.0,150.0
176,2,1,0,4200.0,4350.0,150.0
177,2,1,0,4350.0,4500.0,150.0
178,2,1,0,4500.0,4650.0,150.0
179,2,2,1,4650.0,4830.0,180.0
180,2,2,1,4830.0,5010.0,180.0
181,2,1,0,5010.0,5160.0,150.0
182,2,2,1,5160.0,5340.0,180.0
183,2,2,1,5340.0,5520.0,180.0
184,2,1,0,5520.0,5670.0,150.0
185,2,1,0,5670.0,5820.0,150.0
186,2,2,1,5820.0,6000.0,180.0
187,2,2,1,6000.0,6180.0,180.0
188,2,2,1,6180.0,6360.0,180.0
189,2,2,1,6360.0,6540.0,180.0
190,2,2,1,6540.0,6720.0,180.0
191,2,2,1,6720.0,6900.0,180.0
192,2,2,1,6900.0,7080.0,180.0
193,2,2,1,7080.0,7260.0,180.0
194,2,2,1,7260.0,7440.0,180.0
195,2,2,1,7440.0,7620.0,180.0
196,2,2,1,7620.0,7800.0,180.0
197,2,2,1,7800.0,7980.0,180.0
198,2,2,1,7980.0,8160.0,180.0
199,2,2,1,8160.0,8340.0,180.0
200,2,2,1,8340.0,8520.0,180.0
201,2,2,1,8520.0,8700.0,180.0
202,2,3,2,8700.0,8836.0,136.0
203,2,3,2,8836.0,8972.0,136.0
204,2,3,2,8972.0,9108.0,136.0
205,2,3,2,9108.0,9244.0,136.0
206,2,3,2,9244.0,9380.0,136.0
207,2,3,2,9380.0,9516.0,136.0
208,2,3,2,9516.0,9652.0,136.0
209,2,3,2,9652.0,9788.0,136.0
210,2,3,2,9788.0,9924.0,136.0
211,2,3,2,9924.0,10060.0,136.0
212,2,3,2,10060.0,10196.0,136.0
213,2,3,2,10196.0,10332.0,136.0
214,2,3,2,10332.0,10468.0,136.0
215,2,3,2,10468.0,10604.0,136.0
216,2,3,2,10604.0,10740.0,136.0
217,2,3,2,10740.0,10876.0,136.0
218,2,3,2,10876.0,11012.0,136.0
219,3,0,1,147.0,287.0,140.0
220,3,0,2,287.0,437.0,150.0
221,3,0,1,437.0,577.0,140.0
222,3,0,1,577.0,717.0,140.0
223,3,0,1,717.0,857.0,140.0
224,3,0,1,857.0,997.0,140.0
225,3,0,1,997.0,1137.0,140.0
226,3,0,1,1137.0,1277.0,140.0
227,3,0,1,1277.0,1417.0,140.0
228,3,0,1,1417.0,1557.0,140.0
229,3,0,2,1557.0,1707.0,150.0
230,3,0,2,1707.0,1857.0,150.0
231,3,0,2,1857.0,2007.0,150.0
232,3,0,2,2007.0,2157.0,150.0
233,3,0,2,2157.0,2307.0,150.0
234,3,0,2,2307.0,2457.0,150.0
235,3,0,2,2457.0,2607.0,150.0
236,3,0,2,2607.0,2757.0,150.0
237,3,0,1,2757.0,2897.0,140.0
238,3,0,2,2897.0,3047.0,150.0
239,3,0,1,3329.0,3469.0,140.0
240,3,0,2,3469.0,3619.0,150.0
241,3,0,1,3623.0,3763.0,140.0
242,3,0,2,3763.0,3913.0,150.0
243,3,0,2,3913.0,4063.0,150.0
244,3,0,2,4063.0,4213.0,150.0
245,3,0,1,4345.0,4485.0,140.0
246,3,0,2,4485.0,4635.0,150.0
247,3,0,1,4639.0,4779.0,140.0
248,3,0,2,4779.0,4929.0,150.0
249,3,2,2,4929.0,5119.0,190.0
250,3,2,2,5119.0,5309.0,190.0
251,3,0,2,5309.0,5459.0,150.0
252,3,2,2,5459.0,5649.0,190.0
253,3,2,2,5649.0,5839.0,190.0
254,3,0,2,5839.0,5989.0,150.0
255,3,0,2,5989.0,6139.0,150.0
256,3,2,2,6139.0,6329.0,190.0
257,3,2,2,6329.0,6519.0,190.0
258,3,2,2,6519.0,6709.0,190.0
259,3,2,2,6709.0,6899.0,190.0
260,3,2,2,6899.0,7089.0,190.0
261,3,2,2,7089.0,7279.0,190.0
262,3,2,2,7279.0,7469.0,190.0
263,3,2,2,7469.0,7659.0,190.0
264,3,2,2,7659.0,7849.0,190.0
265,3,2,2,7849.0,8039.0,190.0
266,3,2,2,8039.0,8229.0,190.0
267,3,2,2,8229.0,8419.0,190.0
268,3,2,2,8419.0,8609.0,190.0
269,3,2,2,8609.0,8799.0,190.0
270,3,2,2,8799.0,8989.0,190.0
271,3,2,2,8989.0,9179.0,190.0
272,3,0,2,9179.0,9329.0,150.0
273,3,0,2,9329.0,9479.0,150.0
274,3,0,2,9479.0,9629.0,150.0
275,3,0,2,9629.0,9779.0,150.0
276,3,0,2,9779.0,9929.0,150.0
277,3,0,2,9929.0,10079.0,150.0
278,3,0,2,10079.0,10229.0,150.0
279,3,0,2,10229.0,10379.0,150.0
280,3,0,2,10379.0,10529.0,150.0
281,3,0,2,10529.0,10679.0,150.0
282,3,0,2,10679.0,10829.0,150.0
283,3,0,2,10829.0,10979.0,150.0
284,3,0,2,10979.0,11129.0,150.0
285,4,3,1,65.0,238.0,173.0
286,4,3,1,238.0,411.0,173.0
287,4,1,2,411.0,589.0,178.0
288,4,1,2,589.0,767.0,178.0
289,4,1,2,767.0,945.0,178.0
290,4,1,2,945.0,1123.0,178.0
291,4,1,2,1123.0,1301.0,178.0
292,4,3,1,1301.0,1474.0,173.0
293,4,3,1,1474.0,1647.0,173.0
294,4,3,1,1647.0,1820.0,173.0
295,4,3,1,1820.0,1993.0,173.0
296,4,3,1,1993.0,2166.0,173.0
297,4,3,1,2166.0,2339.0,173.0
298,4,3,1,2339.0,2512.0,173.0
299,4,3,1,2512.0,2685.0,173.0
300,4,3,1,2685.0,2858.0,173.0
301,4,1,2,2858.0,3036.0,178.0
302,4,1,2,3036.0,3214.0,178.0
303,4,1,2,3214.0,3392.0,178.0
304,4,1,2,3392.0,3570.0,178.0
305,4,1,2,3570.0,3748.0,178.0
306,4,1,2,3748.0,3926.0,178.0
307,4,1,2,3926.0,4104.0,178.0
308,4,1,2,4104.0,4282.0,178.0
309,4,1,2,4282.0,4460.0,178.0
310,4,1,2,4460.0,4638.0,178.0
311,4,1,2,4638.0,4816.0,178.0
312,4,3,1,4816.0,4989.0,173.0
313,4,1,2,4989.0,5167.0,178.0
314,4,1,2,5167.0,5345.0,178.0
315,4,3,1,5345.0,5518.0,173.0
316,4,3,1,5518.0,5691.0,173.0
317,4,3,1,5691.0,5864.0,173.0
318,4,3,1,5864.0,6037.0,173.0
319,4,3,1,6037.0,6210.0,173.0
320,4,1,2,6210.0,6388.0,178.0
321,4,1,2,6388.0,6566.0,178.0
322,4,1,2,6566.0,6744.0,178.0
323,4,1,2,6744.0,6922.0,178.0
324,4,1,2,6922.0,7100.0,178.0
325,4,1,2,7100.0,7278.0,178.0
326,4,1,2,7278.0,7456.0,178.0
327,4,1,2,7456.0,7634.0,178.0
328,4,1,2,7634.0,7812.0,178.0
329,4,1,2,7812.0,7990.0,178.0
330,4,1,2,7990.0,8168.0,178.0
331,4,1,2,8168.0,8346.0,178.0
332,4,1,2,8346.0,8524.0,178.0
333,4,1,2,8524.0,8702.0,178.0
334,4,1,2,8702.0,8880.0,178.0
335,4,1,2,8880.0,9058.0,178.0
336,4,1,2,9058.0,9236.0,178.0
337,4,1,2,9236.0,9414.0,178.0
338,4,1,2,9414.0,9592.0,178.0
339,4,1,2,9592.0,9770.0,178.0
340,4,1,2,9770.0,9948.0,178.0
341,4,1,2,9948.0,10126.0,178.0
342,4,1,2,10126.0,10304.0,178.0
343,4,1,2,10304.0,10482.0,178.0
344,4,1,2,10482.0,10660.0,178.0
345,4,1,2,10660.0,10838.0,178.0
346,4,1,2,10838.0,11016.0,178.0
347,4,1,2,11016.0,11194.0,178.0
348,4,1,2,11194.0,11372.0,178.0
