epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
1,1,1,P1,1,0.0001,0.11199356988072395,6865.0,7972.0,30.750359535217285,2.0793533325195312,32.829712867736816,7972.0,7972.0
2,1,2,P2,1,9.995833333333334e-05,-0.023620513966307044,9992.0,9740.0,19.22119402885437,1.0559875965118408,20.27718162536621,9740.0,9740.0
3,1,3,P3,1,9.991666666666666e-05,-0.029790252214297652,6528.0,6248.0,24.6502685546875,1.8792564868927002,26.5295250415802,6248.0,6248.0
4,1,4,P4,1,9.9875e-05,0.009143580449745059,3881.0,5114.0,22.664161682128906,1.4812884330749512,24.145450115203857,5114.0,5114.0
5,1,5,P5,1,9.983333333333334e-05,0.05426177196204662,5198.0,4573.0,24.902551412582397,1.6146876811981201,26.517239093780518,4573.0,4573.0
6,1,6,P6,1,9.979166666666668e-05,0.051232876256108284,5005.0,4131.0,25.94054889678955,1.671471357345581,27.612020254135132,4131.0,4131.0
7,1,7,P7,1,9.975000000000001e-05,-0.06849804893136024,6447.0,7640.0,38.020079135894775,2.4174447059631348,40.43752384185791,7640.0,7640.0
8,1,8,P8,1,9.970833333333334e-05,0.04271659441292286,6651.0,5720.0,33.83238911628723,2.1197316646575928,35.952120780944824,5720.0,5720.0
9,1,9,P9,1,9.966666666666667e-05,-0.007815332035534084,6341.0,5680.0,31.21605634689331,1.9957516193389893,33.2118079662323,5680.0,5680.0
10,1,10,P10,1,9.9625e-05,-0.03247805777937174,6358.0,7104.0,20.15974712371826,1.310638666152954,21.470385789871216,7104.0,7104.0
11,1,11,P11,1,9.958333333333335e-05,-0.04135434376075864,11388.0,12667.0,38.2256498336792,2.537813663482666,40.763463497161865,12667.0,12667.0
12,1,12,P12,1,9.954166666666667e-05,0.04773730970919132,12776.0,15045.0,45.81723427772522,3.048153877258301,48.86538815498352,15045.0,15045.0
13,1,13,P13,1,9.95e-05,0.024455640581436455,22555.0,22356.0,108.15124917030334,8.039352178573608,116.19060134887695,22356.0,22356.0
14,1,14,P14,1,9.945833333333334e-05,-0.015960994001943618,23764.0,24665.0,107.80415511131287,7.871141672134399,115.67529678344727,24665.0,24665.0
15,1,15,P15,1,9.941666666666667e-05,0.005765573645476252,21891.0,23720.0,112.55625128746033,8.15392804145813,120.71017932891846,23720.0,23720.0
16,1,16,P16,1,9.9375e-05,0.025194702204316854,26323.0,24855.0,137.26607084274292,10.29336166381836,147.55943250656128,24855.0,24855.0
17,1,17,P17,1,9.933333333333334e-05,-0.015621529798954726,23558.0,25134.0,138.36540174484253,10.30079174041748,148.66619348526,25134.0,25134.0
18,1,18,P18,1,9.929166666666668e-05,1.3266183668747544e-05,23439.0,26873.0,128.60932540893555,9.576191425323486,138.18551683425903,26873.0,26873.0
19,1,19,P19,1,9.925000000000001e-05,-0.024503644835203887,24586.0,24211.0,129.09791612625122,10.034978151321411,139.13289427757263,24211.0,24211.0
20,1,20,P20,1,9.920833333333334e-05,-0.0002359335710934829,24330.0,24850.0,140.4231493473053,10.66529393196106,151.08844327926636,24850.0,24850.0
21,1,21,P21,1,9.916666666666667e-05,0.0024359237781027333,26362.0,29518.0,146.3102204799652,11.265453338623047,157.57567381858826,29518.0,29518.0
22,1,22,P22,1,9.9125e-05,-0.004387255813344382,24887.0,29156.0,81.22715735435486,4.806771993637085,86.03392934799194,29156.0,29156.0
23,1,23,P23,1,9.908333333333333e-05,0.0039877896238717115,38523.0,34558.0,76.38668870925903,6.196773529052734,82.58346223831177,34558.0,34558.0
24,1,24,P24,1,9.904166666666667e-05,-0.0018884727149270474,27076.0,28025.0,52.32983708381653,4.277156352996826,56.606993436813354,28025.0,28025.0
25,2,1,P1,2,9.900000000000001e-05,0.026390742394141853,6585.0,7832.0,12.30473780632019,0.8222987651824951,13.127036571502686,7832.0,7902.0
26,2,2,P2,2,9.895833333333334e-05,0.007785285240970552,9778.0,9472.0,15.446597576141357,1.0277135372161865,16.474311113357544,9472.0,9606.0
27,2,3,P3,2,9.891666666666667e-05,-0.010061195702292025,6441.0,6045.0,11.127005577087402,0.742246150970459,11.869251728057861,6045.0,6146.5
28,2,4,P4,2,9.8875e-05,-0.013230244861915708,3882.0,4378.0,8.527745723724365,0.5749471187591553,9.10269284248352,4378.0,4746.0
29,2,5,P5,2,9.883333333333333e-05,0.034343176521360874,5030.0,5664.0,9.561611890792847,0.6843397617340088,10.245951652526855,4573.0,5118.5
30,2,6,P6,2,9.879166666666666e-05,0.033909314312040806,4557.0,3957.0,9.972365617752075,0.6718225479125977,10.644188165664673,3957.0,4044.0
31,2,7,P7,2,9.875000000000002e-05,-0.007241061481181532,6770.0,7580.0,14.970658302307129,0.9819912910461426,15.952649593353271,7580.0,7610.0
32,2,8,P8,2,9.870833333333334e-05,-0.0010772055757115595,6500.0,6167.0,12.81788682937622,0.8218252658843994,13.63971209526062,5720.0,5943.5
33,2,9,P9,2,9.866666666666668e-05,-0.00886622437974438,5923.0,5557.0,12.106803178787231,0.7791590690612793,12.88596224784851,5557.0,5618.5
34,2,10,P10,2,9.8625e-05,-0.02907251985743642,6386.0,7166.0,7.62422776222229,0.5253674983978271,8.149595260620117,7104.0,7135.0
