seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,0,0,0.0,17.0,17.0
2,1,M1,0,0,17.0,34.0,17.0
3,1,M1,0,0,34.0,51.0,17.0
4,1,M1,0,0,51.0,68.0,17.0
5,1,M1,1,0,68.0,98.0,30.0
6,1,M1,1,0,98.0,128.0,30.0
7,1,M1,1,0,128.0,158.0,30.0
8,1,M1,2,0,158.0,214.0,56.0
9,1,M1,1,0,214.0,244.0,30.0
10,1,M1,1,0,244.0,274.0,30.0
11,1,M1,0,0,274.0,291.0,17.0
12,1,M1,0,0,291.0,308.0,17.0
13,1,M1,0,0,308.0,325.0,17.0
14,1,M1,1,0,325.0,355.0,30.0
15,1,M1,1,0,355.0,385.0,30.0
16,1,M1,1,0,385.0,415.0,30.0
17,1,M1,1,0,415.0,445.0,30.0
18,1,M1,2,0,445.0,501.0,56.0
19,1,M1,2,0,501.0,557.0,56.0
20,1,M1,2,0,557.0,613.0,56.0
21,1,M1,0,0,613.0,630.0,17.0
22,1,M1,0,0,630.0,647.0,17.0
23,1,M1,0,0,647.0,664.0,17.0
24,1,M1,0,0,664.0,681.0,17.0
25,1,M1,1,0,681.0,711.0,30.0
26,1,M1,1,0,711.0,741.0,30.0
27,1,M1,1,0,741.0,771.0,30.0
28,1,M1,1,0,771.0,801.0,30.0
29,1,M1,2,0,801.0,857.0,56.0
30,1,M1,1,0,857.0,887.0,30.0
31,1,M1,2,0,887.0,943.0,56.0
32,1,M1,1,0,943.0,973.0,30.0
33,1,M1,1,0,973.0,1003.0,30.0
34,1,M1,1,0,1003.0,1033.0,30.0
35,1,M1,1,0,1033.0,1063.0,30.0
36,1,M1,1,0,1063.0,1093.0,30.0
37,1,M1,1,0,1093.0,1123.0,30.0
38,1,M1,1,0,1123.0,1153.0,30.0
39,1,M1,2,0,1153.0,1209.0,56.0
40,1,M1,2,0,1209.0,1265.0,56.0
41,1,M1,0,0,1265.0,1282.0,17.0
42,1,M1,0,0,1282.0,1299.0,17.0
43,1,M1,0,0,1299.0,1316.0,17.0
44,1,M1,0,0,1316.0,1333.0,17.0
45,1,M1,1,0,1333.0,1363.0,30.0
