seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,4,0,0.0,128.0,128.0
2,1,M1,2,0,128.0,215.0,87.0
3,1,M1,1,0,215.0,429.0,214.0
4,1,M1,4,0,429.0,557.0,128.0
5,1,M1,0,0,557.0,804.0,247.0
6,1,M1,2,0,804.0,891.0,87.0
7,1,M1,1,0,891.0,1105.0,214.0
8,1,M1,4,0,1105.0,1233.0,128.0
9,1,M1,4,0,1233.0,1361.0,128.0
10,1,M1,2,0,1361.0,1448.0,87.0
11,1,M1,1,0,1448.0,1662.0,214.0
12,1,M1,4,0,1662.0,1790.0,128.0
13,1,M1,2,0,1790.0,1877.0,87.0
14,1,M1,4,0,1877.0,2005.0,128.0
15,1,M1,1,0,2005.0,2219.0,214.0
16,1,M1,2,0,2219.0,2306.0,87.0
17,1,M1,4,0,2306.0,2434.0,128.0
18,1,M1,1,0,2434.0,2648.0,214.0
19,1,M1,2,0,2648.0,2735.0,87.0
20,1,M1,4,0,2735.0,2863.0,128.0
21,1,M1,4,0,2863.0,2991.0,128.0
22,1,M1,1,0,2991.0,3205.0,214.0
23,1,M1,2,0,3205.0,3292.0,87.0
24,1,M1,4,0,3292.0,3420.0,128.0
25,1,M1,1,0,3420.0,3634.0,214.0
26,1,M1,2,0,3634.0,3721.0,87.0
27,1,M1,4,0,3721.0,3849.0,128.0
28,1,M1,4,0,3849.0,3977.0,128.0
29,1,M1,2,0,3977.0,4064.0,87.0
30,1,M1,1,0,4064.0,4278.0,214.0
31,1,M1,0,0,4278.0,4525.0,247.0
32,1,M1,4,0,4525.0,4653.0,128.0
33,1,M1,2,0,4653.0,4740.0,87.0
34,1,M1,1,0,4740.0,4954.0,214.0
35,1,M1,4,0,4954.0,5082.0,128.0
36,1,M1,2,0,5082.0,5169.0,87.0
37,1,M1,4,0,5169.0,5297.0,128.0
38,1,M1,1,0,5297.0,5511.0,214.0
39,1,M1,4,0,5511.0,5639.0,128.0
40,1,M1,2,0,5639.0,5726.0,87.0
41,1,M1,4,0,5726.0,5854.0,128.0
42,1,M1,1,0,5854.0,6068.0,214.0
43,1,M1,2,0,6068.0,6155.0,87.0
44,1,M1,4,0,6155.0,6283.0,128.0
