variant_name,epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
ablation_no_reward_scale,13,1,13,P13,1,9.95e-05,0.014806149789365008,22800.0,25982.0,102.35464549064636,7.322990417480469,109.67763590812683,25982.0,25982.0
ablation_no_reward_scale,37,2,13,P13,2,9.850000000000001e-05,0.020298631337936968,23290.0,26038.0,102.10962128639221,7.383520841598511,109.49314212799072,25982.0,26010.0
ablation_no_reward_scale,61,3,13,P13,3,9.75e-05,0.022779738530516624,22800.0,21375.0,103.16044569015503,7.5595128536224365,110.71995854377747,21375.0,24465.0
ablation_no_reward_scale,85,4,13,P13,4,9.65e-05,0.055670665577054024,23045.0,20585.0,102.2509355545044,7.681777477264404,109.9327130317688,20585.0,23495.0
ablation_no_reward_scale,109,5,13,P13,5,9.55e-05,0.04775248165242374,23535.0,21329.0,101.74769759178162,7.603032827377319,109.35073041915894,20585.0,23061.8
ablation_no_reward_scale,133,6,13,P13,6,9.449999999999999e-05,0.04991993750445545,22555.0,22219.0,103.41050434112549,7.613661050796509,111.024165391922,20585.0,22921.333333333332
ablation_no_reward_scale,157,7,13,P13,7,9.350000000000001e-05,0.03077830176334828,21330.0,20850.0,104.01761221885681,7.656630992889404,111.67424321174622,20585.0,22625.428571428572
ablation_no_reward_scale,181,8,13,P13,8,9.250000000000001e-05,-0.007202471315395087,20840.0,20010.0,104.18372368812561,7.634616851806641,111.81834053993225,20010.0,22298.5
ablation_no_reward_scale,205,9,13,P13,9,9.15e-05,0.02461826812941581,20350.0,19622.0,102.9597589969635,7.59063458442688,110.55039358139038,19622.0,22001.11111111111
ablation_no_reward_scale,229,10,13,P13,10,9.05e-05,0.027629369287751615,20595.0,19978.0,103.99514770507812,7.59711480140686,111.59226250648499,19622.0,21798.8
ablation_no_reward_scale,253,11,13,P13,11,8.950000000000001e-05,0.021031824056990445,20350.0,20104.0,104.36620259284973,7.634679317474365,112.0008819103241,19622.0,21644.727272727272
ablation_no_reward_scale,277,12,13,P13,12,8.850000000000001e-05,0.013701715040951967,20113.0,19740.0,104.14813089370728,7.618271350860596,111.76640224456787,19622.0,21486.0
ablation_no_reward_scale,301,13,13,P13,13,8.75e-05,0.012453778472263366,20127.0,20123.0,103.42799806594849,7.656915187835693,111.08491325378418,19622.0,21381.153846153848
ablation_no_reward_scale,325,14,13,P13,14,8.65e-05,0.018900859053246677,19842.0,19931.0,103.83288979530334,7.534760475158691,111.36765027046204,19622.0,21277.571428571428
ablation_no_reward_scale,349,15,13,P13,15,8.55e-05,0.01442904572468251,19947.0,20079.0,103.68317914009094,7.5747880935668945,111.25796723365784,19622.0,21197.666666666668
ablation_no_reward_scale,373,16,13,P13,16,8.450000000000001e-05,-0.005477084894664586,19883.0,19984.0,103.64820504188538,7.584464073181152,111.23266911506653,19622.0,21121.8125
ablation_no_reward_scale,397,17,13,P13,17,8.35e-05,0.008648150746012107,19696.0,19946.0,103.7080557346344,7.600243091583252,111.30829882621765,19622.0,21052.647058823528
ablation_no_reward_scale,421,18,13,P13,18,8.25e-05,0.013757710170466453,19615.0,20098.0,103.40747833251953,7.555636167526245,110.96311450004578,19622.0,20999.61111111111
ablation_no_reward_scale,445,19,13,P13,19,8.15e-05,0.028398097958415747,20579.0,19991.0,102.71062994003296,7.566525459289551,110.27715539932251,19622.0,20946.526315789473
ablation_no_reward_scale,469,20,13,P13,20,8.049999999999999e-05,0.013146959710866213,19944.0,20297.0,102.94403314590454,7.579981565475464,110.52401471138,19622.0,20914.05
ablation_no_reward_scale,493,21,13,P13,21,7.950000000000001e-05,0.0132436539279297,19978.0,19676.0,103.01321601867676,7.609142065048218,110.62235808372498,19622.0,20855.095238095237
ablation_no_reward_scale,517,22,13,P13,22,7.850000000000001e-05,0.014494136616121978,19851.0,19743.0,103.33494520187378,7.660465717315674,110.99541091918945,19622.0,20804.545454545456
ablation_no_reward_scale,541,23,13,P13,23,7.75e-05,0.0178709490573965,19860.0,19788.0,104.43857288360596,7.5695366859436035,112.00810956954956,19622.0,20760.347826086956
ablation_no_reward_scale,565,24,13,P13,24,7.65e-05,-0.00421294872649014,19945.0,19800.0,103.55884718894958,7.689730167388916,111.2485773563385,19622.0,20720.333333333332
ablation_no_reward_scale,589,25,13,P13,25,7.55e-05,0.004819960231543519,20138.0,20172.0,102.79449820518494,7.592148303985596,110.38664650917053,19622.0,20698.4
ablation_no_reward_scale,613,26,13,P13,26,7.450000000000001e-05,0.012589478574227542,19860.0,20339.0,103.39829969406128,7.601808071136475,111.00010776519775,19622.0,20684.576923076922
ablation_no_reward_scale,637,27,13,P13,27,7.35e-05,0.014487709559034556,20105.0,19888.0,103.70969915390015,7.735185384750366,111.44488453865051,19622.0,20655.074074074073
ablation_no_reward_scale,661,28,13,P13,28,7.25e-05,0.014353616337757558,20154.0,20342.0,103.18324136734009,7.5822060108184814,110.76544737815857,19622.0,20643.89285714286
ablation_no_reward_scale,685,29,13,P13,29,7.150000000000002e-05,0.00773413383285515,19975.0,19910.0,103.36111187934875,7.614157199859619,110.97526907920837,19622.0,20618.58620689655
ablation_no_reward_scale,709,30,13,P13,30,7.05e-05,0.0040735853763180785,19566.0,19580.0,103.41566038131714,7.660545349121094,111.07620573043823,19580.0,20583.966666666667
ablation_no_reward_scale,733,31,13,P13,31,6.950000000000001e-05,0.011167518852744251,20204.0,19705.0,103.20403385162354,7.630204439163208,110.83423829078674,19580.0,20555.612903225807
ablation_no_reward_scale,757,32,13,P13,32,6.850000000000001e-05,0.011770604876801372,19706.0,19893.0,103.43661093711853,7.620687484741211,111.05729842185974,19580.0,20534.90625
ablation_no_reward_scale,781,33,13,P13,33,6.750000000000001e-05,0.017444348137360066,19823.0,19677.0,102.84556341171265,7.656943321228027,110.50250673294067,19580.0,20508.909090909092
ablation_no_reward_scale,805,34,13,P13,34,6.65e-05,0.00955786055419594,19644.0,19812.0,102.86947631835938,7.623232364654541,110.49270868301392,19580.0,20488.41176470588
ablation_no_reward_scale,829,35,13,P13,35,6.55e-05,0.013865067856386304,19698.0,19670.0,103.88391351699829,7.577091217041016,111.4610047340393,19580.0,20465.02857142857
ablation_no_reward_scale,853,36,13,P13,36,6.450000000000001e-05,0.01448338880436495,19610.0,19576.0,103.3295648097992,7.708443880081177,111.03800868988037,19576.0,20440.333333333332
ablation_no_reward_scale,877,37,13,P13,37,6.35e-05,0.010619984881486744,19629.0,19677.0,103.13812041282654,7.652361154556274,110.79048156738281,19576.0,20419.702702702703
ablation_no_reward_scale,901,38,13,P13,38,6.25e-05,0.016553506662603468,20098.0,19787.0,103.51797318458557,7.665899991989136,111.1838731765747,19576.0,20403.052631578947
ablation_no_reward_scale,925,39,13,P13,39,6.15e-05,0.010560110211372375,19527.0,19680.0,103.89320492744446,7.65409255027771,111.54729747772217,19576.0,20384.51282051282
ablation_no_reward_scale,949,40,13,P13,40,6.05e-05,0.010647988179698586,19612.0,19649.0,103.34358334541321,7.637518405914307,110.98110175132751,19576.0,20366.125
ablation_no_reward_scale,973,41,13,P13,41,5.95e-05,0.008244225231464952,19743.0,19572.0,103.65873074531555,7.572153568267822,111.23088431358337,19572.0,20346.756097560974
ablation_no_reward_scale,997,42,13,P13,42,5.85e-05,0.011328778811730444,19527.0,19814.0,103.59678769111633,7.666904449462891,111.26369214057922,19572.0,20334.071428571428
ablation_no_reward_scale,1021,43,13,P13,43,5.7499999999999995e-05,0.011654465866740793,19900.0,19577.0,102.87606430053711,7.649831533432007,110.52589583396912,19572.0,20316.46511627907
ablation_no_reward_scale,1045,44,13,P13,44,5.65e-05,0.015926031454000622,19606.0,19591.0,103.59433960914612,7.6263275146484375,111.22066712379456,19572.0,20299.977272727272
ablation_no_reward_scale,1069,45,13,P13,45,5.5499999999999994e-05,0.011694109707605094,19595.0,19707.0,103.84865307807922,7.562917709350586,111.41157078742981,19572.0,20286.8
ablation_no_reward_scale,1093,46,13,P13,46,5.4499999999999997e-05,0.010373809840530157,19556.0,19918.0,103.7238974571228,7.655576944351196,111.379474401474,19572.0,20278.782608695652
ablation_no_reward_scale,1117,47,13,P13,47,5.349999999999999e-05,0.007731547055300325,19696.0,19607.0,103.7204999923706,7.64027214050293,111.36077213287354,19572.0,20264.489361702126
ablation_no_reward_scale,1141,48,13,P13,48,5.25e-05,0.008904240501578897,19788.0,19592.0,104.36065816879272,7.568633556365967,111.92929172515869,19572.0,20250.479166666668
ablation_no_reward_scale,1165,49,13,P13,49,5.1500000000000005e-05,0.0132237485377118,19527.0,19649.0,103.28534698486328,7.600774049758911,110.88612103462219,19572.0,20238.20408163265
ablation_no_reward_scale,1189,50,13,P13,50,5.05e-05,0.011444686155300587,19540.0,19527.0,103.02573823928833,7.705145597457886,110.73088383674622,19527.0,20223.98
ablation_no_reward_scale,1213,51,13,P13,51,4.9500000000000004e-05,0.011736725980881602,19592.0,19725.0,104.50007247924805,7.644514799118042,112.14458727836609,19527.0,20214.196078431374
ablation_no_reward_scale,1237,52,13,P13,52,4.85e-05,0.011463114875368774,19672.0,19597.0,103.16002106666565,7.596297264099121,110.75631833076477,19527.0,20202.326923076922
ablation_no_reward_scale,1261,53,13,P13,53,4.75e-05,0.009278257610276341,19518.0,19639.0,102.9441568851471,7.627382516860962,110.57153940200806,19527.0,20191.69811320755
ablation_no_reward_scale,1285,54,13,P13,54,4.65e-05,0.00543496452155523,19522.0,19425.0,103.78353524208069,7.743860960006714,111.5273962020874,19425.0,20177.5
ablation_no_reward_scale,1309,55,13,P13,55,4.55e-05,0.010845499054994434,19772.0,19791.0,103.28412508964539,7.657419919967651,110.94154500961304,19425.0,20170.47272727273
ablation_no_reward_scale,1333,56,13,P13,56,4.45e-05,0.010191529232542962,20033.0,19531.0,103.51711630821228,7.530443906784058,111.04756021499634,19425.0,20159.053571428572
ablation_no_reward_scale,1357,57,13,P13,57,4.350000000000001e-05,0.004991388006601483,19637.0,19522.0,103.14156222343445,7.60994553565979,110.75150775909424,19425.0,20147.877192982458
ablation_no_reward_scale,1381,58,13,P13,58,4.250000000000001e-05,0.00725212661200203,19637.0,19894.0,103.11197566986084,7.632234573364258,110.7442102432251,19425.0,20143.5
ablation_no_reward_scale,1405,59,13,P13,59,4.1500000000000006e-05,0.007254524505697191,19641.0,19461.0,103.05081558227539,7.637574911117554,110.68839049339294,19425.0,20131.93220338983
ablation_no_reward_scale,1429,60,13,P13,60,4.05e-05,0.005551725596887991,19918.0,19672.0,103.48268294334412,7.5698370933532715,111.05252003669739,19425.0,20124.266666666666
ablation_no_reward_scale,1453,61,13,P13,61,3.9500000000000005e-05,0.004350489442003891,19527.0,19536.0,103.82656836509705,7.6004557609558105,111.42702412605286,19425.0,20114.622950819674
ablation_no_reward_scale,1477,62,13,P13,62,3.85e-05,0.0059174020134378225,19715.0,19506.0,103.52624273300171,7.615951299667358,111.14219403266907,19425.0,20104.8064516129
ablation_no_reward_scale,1501,63,13,P13,63,3.7500000000000003e-05,0.0046179147029761225,19644.0,19534.0,103.99451422691345,7.602745532989502,111.59725975990295,19425.0,20095.74603174603
ablation_no_reward_scale,1525,64,13,P13,64,3.65e-05,0.005433762984466739,19713.0,19569.0,103.72747802734375,7.634761333465576,111.36223936080933,19425.0,20087.515625
ablation_no_reward_scale,1549,65,13,P13,65,3.55e-05,0.004876692109974101,19541.0,19679.0,103.28567051887512,7.649792432785034,110.93546295166016,19425.0,20081.23076923077
ablation_no_reward_scale,1573,66,13,P13,66,3.45e-05,0.006073582509998232,19604.0,19795.0,103.66960453987122,7.642011404037476,111.31161594390869,19425.0,20076.89393939394
ablation_no_reward_scale,1597,67,13,P13,67,3.35e-05,0.008707827480975538,19732.0,19662.0,103.76912450790405,7.662078142166138,111.43120265007019,19425.0,20070.701492537315
ablation_no_reward_scale,1621,68,13,P13,68,3.25e-05,0.007521379098761827,19525.0,19662.0,103.34681463241577,7.633365869522095,110.98018050193787,19425.0,20064.691176470587
ablation_no_reward_scale,1645,69,13,P13,69,3.149999999999999e-05,0.004121538091567345,19475.0,19626.0,103.4744062423706,7.623021602630615,111.09742784500122,19425.0,20058.333333333332
ablation_no_reward_scale,1669,70,13,P13,70,3.0500000000000006e-05,0.005188208626350388,19532.0,19811.0,103.41099452972412,7.583583116531372,110.9945776462555,19425.0,20054.8
ablation_no_reward_scale,1693,71,13,P13,71,2.9500000000000006e-05,0.004690617439337075,19496.0,19559.0,103.03582167625427,7.661980390548706,110.69780206680298,19425.0,20047.816901408452
ablation_no_reward_scale,1717,72,13,P13,72,2.8500000000000005e-05,0.002773779102426488,19498.0,19619.0,103.67959642410278,7.641646862030029,111.32124328613281,19425.0,20041.86111111111
ablation_no_reward_scale,1741,73,13,P13,73,2.7500000000000004e-05,0.002907481088186614,19678.0,19645.0,103.43136167526245,7.654540300369263,111.08590197563171,19425.0,20036.424657534248
ablation_no_reward_scale,1765,74,13,P13,74,2.6500000000000004e-05,0.004172304863459431,19552.0,19491.0,102.68497943878174,7.658676624298096,110.34365606307983,19425.0,20029.054054054053
ablation_no_reward_scale,1789,75,13,P13,75,2.5500000000000003e-05,0.003677780317957513,19679.0,19546.0,103.43453979492188,7.591079235076904,111.02561902999878,19425.0,20022.613333333335
ablation_no_reward_scale,1813,76,13,P13,76,2.45e-05,0.0030533963508787565,19670.0,19543.0,103.35681414604187,7.718481063842773,111.07529520988464,19425.0,20016.302631578947
ablation_no_reward_scale,1837,77,13,P13,77,2.35e-05,-2.9424337753880536e-05,19506.0,19629.0,103.22271013259888,7.617212533950806,110.83992266654968,19425.0,20011.272727272728
ablation_no_reward_scale,1861,78,13,P13,78,2.2499999999999998e-05,0.0011219670486752875,19520.0,19541.0,103.55504131317139,7.562649726867676,111.11769104003906,19425.0,20005.24358974359
ablation_no_reward_scale,1885,79,13,P13,79,2.1499999999999997e-05,-0.0013782922069367487,19630.0,19674.0,103.62613821029663,7.734234571456909,111.36037278175354,19425.0,20001.050632911392
