variant_name,epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
industrial_changeover,4,1,4,Order4,1,9.994e-05,0.060477360151708126,1336.0,1275.0,13.724963665008545,1.0597004890441895,14.784664154052734,1275.0,1275.0
industrial_changeover,9,2,4,Order4,2,9.984e-05,-0.13984354212880135,1255.0,1275.0,13.173343420028687,1.001760721206665,14.175104141235352,1275.0,1275.0
industrial_changeover,14,3,4,Order4,3,9.974e-05,-0.07582021877169609,1291.0,1264.0,13.135849475860596,1.0217764377593994,14.157625913619995,1264.0,1271.3333333333333
industrial_changeover,19,4,4,Order4,4,9.964e-05,-0.02862840471789241,1358.0,1259.0,13.201407194137573,1.000016689300537,14.20142388343811,1259.0,1268.25
industrial_changeover,24,5,4,Order4,5,9.954e-05,-0.0792323425412178,1294.0,1259.0,13.186759233474731,1.0013418197631836,14.188101053237915,1259.0,1266.4
industrial_changeover,29,6,4,Order4,6,9.944e-05,-0.10171560011804104,1281.0,1264.0,13.169360399246216,1.0110487937927246,14.18040919303894,1259.0,1266.0
industrial_changeover,34,7,4,Order4,7,9.934e-05,-0.130411297082901,1282.0,1272.0,13.537974119186401,1.0186803340911865,14.556654453277588,1259.0,1266.857142857143
industrial_changeover,39,8,4,Order4,8,9.924e-05,-0.03204447589814663,1356.0,1264.0,13.16958737373352,1.0041697025299072,14.173757076263428,1259.0,1266.5
industrial_changeover,44,9,4,Order4,9,9.914e-05,-0.06801391020417213,1295.0,1260.0,13.156657457351685,1.0311365127563477,14.187793970108032,1259.0,1265.7777777777778
industrial_changeover,49,10,4,Order4,10,9.904e-05,-0.03137228125706315,1356.0,1260.0,13.058417797088623,1.0081486701965332,14.066566467285156,1259.0,1265.2
industrial_changeover,54,11,4,Order4,11,9.894e-05,-0.08595638163387775,1274.0,1259.0,13.07949948310852,1.0026466846466064,14.082146167755127,1259.0,1264.6363636363637
