variant_name,epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca,M,R,N
dslfmae_like_baseline,19,1,19,M20R5N5,1,9.933333333333334e-05,0.7373224794864655,72.0,70.0,10.60327434539795,0.9687132835388184,11.571987628936768,70.0,70.0,20,5,5
dslfmae_like_baseline,46,2,19,M20R5N5,2,9.833333333333333e-05,0.261172354221344,80.0,66.0,9.706034660339355,0.9570512771606445,10.6630859375,66.0,68.0,20,5,5
dslfmae_like_baseline,73,3,19,M20R5N5,3,9.733333333333335e-05,0.045896600000560284,70.0,77.0,9.887173652648926,0.9515740871429443,10.83874773979187,66.0,71.0,20,5,5
dslfmae_like_baseline,100,4,19,M20R5N5,4,9.633333333333335e-05,0.4634275659918785,92.0,63.0,10.011487007141113,0.9569301605224609,10.968417167663574,63.0,69.0,20,5,5
dslfmae_like_baseline,127,5,19,M20R5N5,5,9.533333333333334e-05,0.07781844772398472,73.0,65.0,9.92325758934021,1.018923044204712,10.942180633544922,63.0,68.2,20,5,5
dslfmae_like_baseline,154,6,19,M20R5N5,6,9.433333333333334e-05,-0.09155295975506306,69.0,67.0,10.423821926116943,0.95741868019104,11.381240606307983,63.0,68.0,20,5,5
dslfmae_like_baseline,181,7,19,M20R5N5,7,9.333333333333334e-05,0.1678319163620472,76.0,72.0,10.043456077575684,0.9555089473724365,10.99896502494812,63.0,68.57142857142857,20,5,5
dslfmae_like_baseline,208,8,19,M20R5N5,8,9.233333333333333e-05,0.13713575527071953,82.0,73.0,8.404446840286255,0.7569212913513184,9.161368131637573,63.0,69.125,20,5,5
dslfmae_like_baseline,235,9,19,M20R5N5,9,9.133333333333334e-05,-0.19877023622393608,69.0,63.0,21.72227382659912,1.9117698669433594,23.63404369354248,63.0,68.44444444444444,20,5,5
dslfmae_like_baseline,262,10,19,M20R5N5,10,9.033333333333334e-05,0.18353449180722237,72.0,72.0,21.58073663711548,1.9292714595794678,23.510008096694946,63.0,68.8,20,5,5
dslfmae_like_baseline,289,11,19,M20R5N5,11,8.933333333333334e-05,0.14836597442626953,80.0,77.0,21.882617473602295,1.9083013534545898,23.790918827056885,63.0,69.54545454545455,20,5,5
dslfmae_like_baseline,316,12,19,M20R5N5,12,8.833333333333333e-05,0.034972102381289005,78.0,64.0,9.952524662017822,0.9539802074432373,10.90650486946106,63.0,69.08333333333333,20,5,5
dslfmae_like_baseline,343,13,19,M20R5N5,13,8.733333333333333e-05,0.19557953998446465,80.0,73.0,10.121928215026855,0.9532566070556641,11.07518482208252,63.0,69.38461538461539,20,5,5
dslfmae_like_baseline,370,14,19,M20R5N5,14,8.633333333333334e-05,-0.16078197583556175,72.0,78.0,10.253579139709473,0.9523391723632812,11.205918312072754,63.0,70.0,20,5,5
dslfmae_like_baseline,397,15,19,M20R5N5,15,8.533333333333334e-05,0.15701667591929436,76.0,78.0,10.241463899612427,0.9188499450683594,11.160313844680786,63.0,70.53333333333333,20,5,5
dslfmae_like_baseline,424,16,19,M20R5N5,16,8.433333333333333e-05,0.4913468360900879,95.0,77.0,10.053301572799683,0.9331021308898926,10.986403703689575,63.0,70.9375,20,5,5
dslfmae_like_baseline,451,17,19,M20R5N5,17,8.333333333333334e-05,0.603013888001442,91.0,74.0,9.943432807922363,0.9938428401947021,10.937275648117065,63.0,71.11764705882354,20,5,5
dslfmae_like_baseline,478,18,19,M20R5N5,18,8.233333333333333e-05,-0.046292408369481564,76.0,72.0,10.080517530441284,0.9652507305145264,11.04576826095581,63.0,71.16666666666667,20,5,5
dslfmae_like_baseline,505,19,19,M20R5N5,19,8.133333333333334e-05,-0.028821080457419157,72.0,72.0,10.048211574554443,0.9334337711334229,10.981645345687866,63.0,71.21052631578948,20,5,5
dslfmae_like_baseline,532,20,19,M20R5N5,20,8.033333333333334e-05,0.2726675942540169,87.0,67.0,10.186254739761353,0.9951708316802979,11.18142557144165,63.0,71.0,20,5,5
dslfmae_like_baseline,559,21,19,M20R5N5,21,7.933333333333334e-05,-0.0606984319165349,81.0,71.0,10.173003435134888,0.9509692192077637,11.123972654342651,63.0,71.0,20,5,5
dslfmae_like_baseline,586,22,19,M20R5N5,22,7.833333333333333e-05,0.060460902750492096,77.0,70.0,10.540369033813477,0.9662368297576904,11.506605863571167,63.0,70.95454545454545,20,5,5
dslfmae_like_baseline,613,23,19,M20R5N5,23,7.733333333333333e-05,0.12202095799148083,88.0,69.0,9.884047508239746,0.9896342754364014,10.873681783676147,63.0,70.8695652173913,20,5,5
dslfmae_like_baseline,640,24,19,M20R5N5,24,7.633333333333334e-05,0.09452013112604618,84.0,71.0,8.468140602111816,0.7977688312530518,9.265909433364868,63.0,70.875,20,5,5
dslfmae_like_baseline,667,25,19,M20R5N5,25,7.533333333333334e-05,-0.13772068545222282,75.0,72.0,8.448208808898926,0.7757794857025146,9.22398829460144,63.0,70.92,20,5,5
dslfmae_like_baseline,694,26,19,M20R5N5,26,7.433333333333334e-05,0.08846509270370007,77.0,79.0,8.225759267807007,0.7904250621795654,9.016184329986572,63.0,71.23076923076923,20,5,5
dslfmae_like_baseline,721,27,19,M20R5N5,27,7.333333333333334e-05,-0.06475803069770336,73.0,84.0,8.724663734436035,0.8136861324310303,9.538349866867065,63.0,71.70370370370371,20,5,5
dslfmae_like_baseline,748,28,19,M20R5N5,28,7.233333333333335e-05,0.22090930864214897,84.0,88.0,8.30472183227539,0.7588086128234863,9.063530445098877,63.0,72.28571428571429,20,5,5
dslfmae_like_baseline,775,29,19,M20R5N5,29,7.133333333333334e-05,-0.09222191944718361,79.0,71.0,8.417258024215698,0.7520370483398438,9.169295072555542,63.0,72.24137931034483,20,5,5
dslfmae_like_baseline,802,30,19,M20R5N5,30,7.033333333333334e-05,0.08122987858951092,82.0,84.0,8.502809047698975,0.7639493942260742,9.266758441925049,63.0,72.63333333333334,20,5,5
dslfmae_like_baseline,829,31,19,M20R5N5,31,6.933333333333334e-05,-0.23069707676768303,67.0,71.0,8.285969018936157,0.8003568649291992,9.086325883865356,63.0,72.58064516129032,20,5,5
dslfmae_like_baseline,856,32,19,M20R5N5,32,6.833333333333333e-05,0.22153999283909798,78.0,71.0,8.917494535446167,0.8285746574401855,9.746069192886353,63.0,72.53125,20,5,5
dslfmae_like_baseline,883,33,19,M20R5N5,33,6.733333333333333e-05,0.04549354314804077,77.0,81.0,8.293729066848755,0.8160176277160645,9.10974669456482,63.0,72.78787878787878,20,5,5
dslfmae_like_baseline,910,34,19,M20R5N5,34,6.633333333333334e-05,-0.10096374712884426,75.0,71.0,8.426825046539307,0.7524356842041016,9.179260730743408,63.0,72.73529411764706,20,5,5
dslfmae_like_baseline,937,35,19,M20R5N5,35,6.533333333333334e-05,0.05778860952705145,77.0,71.0,8.439762830734253,0.753434419631958,9.193197250366211,63.0,72.68571428571428,20,5,5
dslfmae_like_baseline,964,36,19,M20R5N5,36,6.433333333333333e-05,0.10462372563779354,84.0,71.0,8.559250831604004,0.778928279876709,9.338179111480713,63.0,72.63888888888889,20,5,5
dslfmae_like_baseline,991,37,19,M20R5N5,37,6.333333333333333e-05,0.1982722207903862,90.0,71.0,8.365651845932007,0.7426223754882812,9.108274221420288,63.0,72.5945945945946,20,5,5
dslfmae_like_baseline,1018,38,19,M20R5N5,38,6.233333333333334e-05,-0.10614702105522156,84.0,71.0,8.613826036453247,0.8069121837615967,9.420738220214844,63.0,72.55263157894737,20,5,5
dslfmae_like_baseline,1045,39,19,M20R5N5,39,6.133333333333334e-05,-0.05687514320015907,71.0,70.0,8.489542007446289,0.7707641124725342,9.260306119918823,63.0,72.48717948717949,20,5,5
dslfmae_like_baseline,1072,40,19,M20R5N5,40,6.0333333333333334e-05,0.054844021797180176,77.0,70.0,8.358469009399414,0.7673318386077881,9.125800848007202,63.0,72.425,20,5,5
dslfmae_like_baseline,1099,41,19,M20R5N5,41,5.933333333333333e-05,-0.14078637212514877,72.0,71.0,8.562301635742188,0.7429218292236328,9.30522346496582,63.0,72.39024390243902,20,5,5
dslfmae_like_baseline,1126,42,19,M20R5N5,42,5.8333333333333326e-05,0.05722645204514265,76.0,71.0,12.604575634002686,0.779613733291626,13.384189367294312,63.0,72.35714285714286,20,5,5
dslfmae_like_baseline,1153,43,19,M20R5N5,43,5.733333333333333e-05,0.17287417501211166,88.0,71.0,22.314791440963745,1.8074188232421875,24.122210264205933,63.0,72.32558139534883,20,5,5
dslfmae_like_baseline,1180,44,19,M20R5N5,44,5.633333333333334e-05,-0.22020014747977257,73.0,71.0,8.207423210144043,0.7306349277496338,8.938058137893677,63.0,72.29545454545455,20,5,5
dslfmae_like_baseline,1207,45,19,M20R5N5,45,5.5333333333333334e-05,0.05657684896141291,73.0,72.0,8.498285055160522,0.8312172889709473,9.32950234413147,63.0,72.28888888888889,20,5,5
dslfmae_like_baseline,1234,46,19,M20R5N5,46,5.433333333333334e-05,-0.04537640232592821,72.0,78.0,8.377691745758057,0.7916674613952637,9.16935920715332,63.0,72.41304347826087,20,5,5
dslfmae_like_baseline,1261,47,19,M20R5N5,47,5.333333333333333e-05,0.18801536038517952,83.0,84.0,8.446465015411377,0.7589025497436523,9.20536756515503,63.0,72.65957446808511,20,5,5
dslfmae_like_baseline,1288,48,19,M20R5N5,48,5.2333333333333336e-05,-0.3075180873274803,58.0,82.0,8.541475534439087,0.7651901245117188,9.306665658950806,63.0,72.85416666666667,20,5,5
dslfmae_like_baseline,1315,49,19,M20R5N5,49,5.133333333333333e-05,0.19051818922162056,75.0,82.0,8.732370138168335,0.7702398300170898,9.502609968185425,63.0,73.04081632653062,20,5,5
dslfmae_like_baseline,1342,50,19,M20R5N5,50,5.033333333333334e-05,0.2008776217699051,79.0,71.0,8.410378694534302,0.7543082237243652,9.164686918258667,63.0,73.0,20,5,5
dslfmae_like_baseline,1369,51,19,M20R5N5,51,4.933333333333333e-05,-0.04216103069484234,70.0,71.0,8.80532169342041,0.8252377510070801,9.63055944442749,63.0,72.96078431372548,20,5,5
dslfmae_like_baseline,1396,52,19,M20R5N5,52,4.8333333333333334e-05,0.04595362953841686,75.0,77.0,8.377817153930664,0.7374584674835205,9.115275621414185,63.0,73.03846153846153,20,5,5
dslfmae_like_baseline,1423,53,19,M20R5N5,53,4.733333333333334e-05,-0.05566524900496006,66.0,70.0,8.542709112167358,0.7750282287597656,9.317737340927124,63.0,72.98113207547169,20,5,5
dslfmae_like_baseline,1450,54,19,M20R5N5,54,4.633333333333334e-05,-0.08360522426664829,65.0,70.0,8.634891271591187,0.7611849308013916,9.396076202392578,63.0,72.92592592592592,20,5,5
dslfmae_like_baseline,1477,55,19,M20R5N5,55,4.533333333333334e-05,0.02000160561874509,70.0,70.0,8.578832149505615,0.763840913772583,9.342673063278198,63.0,72.87272727272727,20,5,5
dslfmae_like_baseline,1504,56,19,M20R5N5,56,4.433333333333334e-05,0.04640060476958752,70.0,66.0,8.57014274597168,0.7816283702850342,9.351771116256714,63.0,72.75,20,5,5
dslfmae_like_baseline,1531,57,19,M20R5N5,57,4.3333333333333334e-05,0.11868643946945667,76.0,66.0,8.591251373291016,0.7935051918029785,9.384756565093994,63.0,72.63157894736842,20,5,5
dslfmae_like_baseline,1558,58,19,M20R5N5,58,4.233333333333334e-05,0.10463019646704197,77.0,67.0,8.33038067817688,0.7506191730499268,9.080999851226807,63.0,72.53448275862068,20,5,5
dslfmae_like_baseline,1585,59,19,M20R5N5,59,4.133333333333333e-05,-0.09737230464816093,69.0,66.0,8.347141027450562,0.7653341293334961,9.112475156784058,63.0,72.42372881355932,20,5,5
dslfmae_like_baseline,1612,60,19,M20R5N5,60,4.0333333333333336e-05,0.08429071493446827,74.0,67.0,8.689915895462036,0.7726123332977295,9.462528228759766,63.0,72.33333333333333,20,5,5
dslfmae_like_baseline,1639,61,19,M20R5N5,61,3.933333333333333e-05,0.0625202851369977,79.0,74.0,8.585022449493408,0.7902336120605469,9.375256061553955,63.0,72.36065573770492,20,5,5
dslfmae_like_baseline,1666,62,19,M20R5N5,62,3.8333333333333334e-05,-0.17568597942590714,66.0,67.0,8.337790966033936,0.7523653507232666,9.090156316757202,63.0,72.2741935483871,20,5,5
dslfmae_like_baseline,1693,63,19,M20R5N5,63,3.733333333333333e-05,-0.0818434301763773,65.0,77.0,8.5497465133667,0.8432967662811279,9.393043279647827,63.0,72.34920634920636,20,5,5
dslfmae_like_baseline,1720,64,19,M20R5N5,64,3.633333333333333e-05,0.19073976576328278,77.0,77.0,8.703999996185303,0.7861227989196777,9.49012279510498,63.0,72.421875,20,5,5
dslfmae_like_baseline,1747,65,19,M20R5N5,65,3.533333333333334e-05,-0.0951993577182293,66.0,76.0,8.683801651000977,0.7604522705078125,9.444253921508789,63.0,72.47692307692307,20,5,5
