seq,compact_machine_id,compact_machine_label,type,op,start,end,duration,original_machine_id,original_machine_label,original_type,changeover_time_feature
1,1,M1,0,0,0.0,73.0,73.0,1,M1,0,0.0
2,1,M1,0,0,73.0,146.0,73.0,1,M1,0,7.0
3,1,M1,1,1,146.0,221.0,75.0,1,M1,1,6.0
4,1,M1,1,1,221.0,296.0,75.0,1,M1,1,7.0
5,1,M1,0,4,296.0,387.0,91.0,1,M1,0,7.0
6,1,M1,0,4,387.0,478.0,91.0,1,M1,0,7.0
7,1,M1,0,4,478.0,569.0,91.0,1,M1,0,7.0
8,1,M1,0,4,572.0,663.0,91.0,1,M1,0,7.0
9,1,M1,0,4,681.0,772.0,91.0,1,M1,0,7.0
10,2,M2,1,3,264.0,310.0,46.0,2,M2,1,0.0
11,2,M2,1,3,379.0,425.0,46.0,2,M2,1,19.0
12,2,M2,1,5,432.0,514.0,82.0,2,M2,1,19.0
13,2,M2,1,3,514.0,560.0,46.0,2,M2,1,19.0
14,2,M2,1,5,560.0,642.0,82.0,2,M2,1,19.0
15,2,M2,1,3,642.0,688.0,46.0,2,M2,1,19.0
16,2,M2,1,5,688.0,770.0,82.0,2,M2,1,19.0
17,2,M2,1,5,810.0,892.0,82.0,2,M2,1,19.0
18,2,M2,1,7,892.0,1049.0,157.0,2,M2,1,19.0
19,3,M3,1,6,514.0,572.0,58.0,3,M3,1,0.0
20,3,M3,0,6,572.0,664.0,92.0,3,M3,0,0.0
21,3,M3,1,6,664.0,722.0,58.0,3,M3,1,0.0
22,3,M3,0,6,723.0,815.0,92.0,3,M3,0,0.0
23,3,M3,1,6,815.0,873.0,58.0,3,M3,1,0.0
24,3,M3,0,6,873.0,965.0,92.0,3,M3,0,0.0
25,3,M3,1,6,965.0,1023.0,58.0,3,M3,1,0.0
26,4,M4,0,7,564.0,723.0,159.0,4,M4,0,0.0
27,4,M4,0,7,746.0,905.0,159.0,4,M4,0,13.0
28,4,M4,0,7,931.0,1090.0,159.0,4,M4,0,13.0
29,5,M5,0,4,239.0,395.0,156.0,5,M5,0,0.0
30,5,M5,0,4,395.0,551.0,156.0,5,M5,0,12.0
31,5,M5,0,4,551.0,707.0,156.0,5,M5,0,12.0
32,5,M5,0,4,718.0,874.0,156.0,5,M5,0,12.0
33,6,M6,0,0,0.0,74.0,74.0,6,M6,0,0.0
34,6,M6,0,0,74.0,148.0,74.0,6,M6,0,2.0
35,6,M6,0,0,148.0,222.0,74.0,6,M6,0,2.0
36,6,M6,0,0,222.0,296.0,74.0,6,M6,0,2.0
37,6,M6,0,0,296.0,370.0,74.0,6,M6,0,2.0
38,6,M6,0,0,370.0,444.0,74.0,6,M6,0,2.0
39,6,M6,0,0,444.0,518.0,74.0,6,M6,0,2.0
40,6,M6,0,7,655.0,816.0,161.0,6,M6,0,2.0
41,6,M6,0,7,816.0,977.0,161.0,6,M6,0,2.0
42,6,M6,0,7,977.0,1138.0,161.0,6,M6,0,2.0
43,7,M7,1,1,12.0,149.0,137.0,7,M7,1,0.0
44,7,M7,1,1,149.0,286.0,137.0,7,M7,1,16.0
45,7,M7,1,4,310.0,432.0,122.0,7,M7,1,16.0
46,7,M7,1,4,432.0,554.0,122.0,7,M7,1,16.0
47,7,M7,1,4,560.0,682.0,122.0,7,M7,1,16.0
48,7,M7,1,4,688.0,810.0,122.0,7,M7,1,16.0
49,8,M8,2,0,0.0,9.0,9.0,8,M8,2,0.0
50,8,M8,2,0,9.0,18.0,9.0,8,M8,2,4.0
51,8,M8,2,0,18.0,27.0,9.0,8,M8,2,4.0
52,8,M8,2,0,27.0,36.0,9.0,8,M8,2,4.0
53,8,M8,2,0,36.0,45.0,9.0,8,M8,2,4.0
54,8,M8,0,5,387.0,473.0,86.0,8,M8,0,4.0
55,8,M8,0,5,478.0,564.0,86.0,8,M8,0,39.0
56,8,M8,0,5,564.0,650.0,86.0,8,M8,0,39.0
57,8,M8,0,5,663.0,749.0,86.0,8,M8,0,39.0
58,8,M8,0,5,772.0,858.0,86.0,8,M8,0,39.0
59,9,M9,0,1,73.0,183.0,110.0,9,M9,0,0.0
60,9,M9,0,1,183.0,293.0,110.0,9,M9,0,10.0
61,9,M9,0,2,293.0,331.0,38.0,9,M9,0,10.0
62,9,M9,0,1,331.0,441.0,110.0,9,M9,0,10.0
63,9,M9,0,5,441.0,527.0,86.0,9,M9,0,10.0
64,9,M9,0,1,527.0,637.0,110.0,9,M9,0,10.0
65,9,M9,0,5,637.0,723.0,86.0,9,M9,0,10.0
66,9,M9,0,5,723.0,809.0,86.0,9,M9,0,10.0
67,9,M9,0,5,874.0,960.0,86.0,9,M9,0,10.0
68,11,M11,2,3,27.0,35.0,8.0,11,M11,2,0.0
69,11,M11,2,3,42.0,50.0,8.0,11,M11,2,4.0
70,11,M11,2,3,57.0,65.0,8.0,11,M11,2,4.0
71,11,M11,2,3,72.0,80.0,8.0,11,M11,2,4.0
72,11,M11,0,1,80.0,189.0,109.0,11,M11,0,5.0
73,11,M11,0,1,189.0,298.0,109.0,11,M11,0,39.0
74,11,M11,0,1,298.0,407.0,109.0,11,M11,0,39.0
75,11,M11,0,1,407.0,516.0,109.0,11,M11,0,39.0
76,11,M11,0,1,516.0,625.0,109.0,11,M11,0,39.0
77,11,M11,2,3,625.0,633.0,8.0,11,M11,2,5.0
78,12,M12,2,1,9.0,24.0,15.0,12,M12,2,0.0
79,12,M12,2,1,24.0,39.0,15.0,12,M12,2,5.0
80,12,M12,2,1,39.0,54.0,15.0,12,M12,2,5.0
81,12,M12,2,1,54.0,69.0,15.0,12,M12,2,5.0
82,12,M12,2,1,69.0,84.0,15.0,12,M12,2,5.0
83,12,M12,0,6,473.0,564.0,91.0,12,M12,0,5.0
84,12,M12,0,6,564.0,655.0,91.0,12,M12,0,8.0
85,12,M12,0,6,655.0,746.0,91.0,12,M12,0,8.0
86,12,M12,0,6,749.0,840.0,91.0,12,M12,0,8.0
87,12,M12,0,6,840.0,931.0,91.0,12,M12,0,8.0
88,12,M12,0,6,960.0,1051.0,91.0,12,M12,0,8.0
89,14,M14,0,2,183.0,220.0,37.0,14,M14,0,0.0
90,14,M14,0,2,220.0,257.0,37.0,14,M14,0,14.0
91,14,M14,0,2,298.0,335.0,37.0,14,M14,0,14.0
92,14,M14,0,2,407.0,444.0,37.0,14,M14,0,14.0
93,14,M14,0,2,444.0,481.0,37.0,14,M14,0,14.0
94,14,M14,0,2,516.0,553.0,37.0,14,M14,0,14.0
95,14,M14,0,2,625.0,662.0,37.0,14,M14,0,14.0
96,14,M14,0,2,662.0,699.0,37.0,14,M14,0,14.0
97,15,M15,0,7,664.0,823.0,159.0,15,M15,0,0.0
98,15,M15,0,7,840.0,999.0,159.0,15,M15,0,6.0
99,15,M15,0,7,1051.0,1210.0,159.0,15,M15,0,6.0
100,16,M16,1,2,149.0,264.0,115.0,16,M16,1,0.0
101,16,M16,1,2,264.0,379.0,115.0,16,M16,1,7.0
102,16,M16,1,2,379.0,494.0,115.0,16,M16,1,7.0
103,16,M16,1,2,494.0,609.0,115.0,16,M16,1,7.0
104,18,M18,2,2,24.0,27.0,3.0,18,M18,2,0.0
105,18,M18,2,2,39.0,42.0,3.0,18,M18,2,10.0
106,18,M18,2,2,54.0,57.0,3.0,18,M18,2,10.0
107,18,M18,2,2,69.0,72.0,3.0,18,M18,2,10.0
108,18,M18,2,2,84.0,87.0,3.0,18,M18,2,10.0
109,19,M19,1,0,0.0,12.0,12.0,19,M19,1,0.0
110,19,M19,1,0,12.0,24.0,12.0,19,M19,1,8.0
111,19,M19,1,0,24.0,36.0,12.0,19,M19,1,8.0
112,19,M19,1,0,36.0,48.0,12.0,19,M19,1,8.0
113,19,M19,2,4,48.0,57.0,9.0,19,M19,2,7.0
114,19,M19,2,4,57.0,66.0,9.0,19,M19,2,8.0
115,19,M19,2,4,66.0,75.0,9.0,19,M19,2,8.0
116,19,M19,2,4,80.0,89.0,9.0,19,M19,2,8.0
117,19,M19,0,3,220.0,239.0,19.0,19,M19,0,7.0
118,19,M19,0,3,257.0,276.0,19.0,19,M19,0,13.0
119,19,M19,0,3,331.0,350.0,19.0,19,M19,0,13.0
120,19,M19,0,3,350.0,369.0,19.0,19,M19,0,13.0
121,19,M19,0,3,444.0,463.0,19.0,19,M19,0,13.0
122,19,M19,0,3,481.0,500.0,19.0,19,M19,0,13.0
123,19,M19,0,3,553.0,572.0,19.0,19,M19,0,13.0
124,19,M19,2,4,633.0,642.0,9.0,19,M19,2,7.0
125,19,M19,0,3,662.0,681.0,19.0,19,M19,0,7.0
126,19,M19,0,3,699.0,718.0,19.0,19,M19,0,13.0
127,20,M20,1,7,572.0,732.0,160.0,20,M20,1,0.0
128,20,M20,1,7,732.0,892.0,160.0,20,M20,1,22.0
129,20,M20,1,7,1023.0,1183.0,160.0,20,M20,1,22.0
