seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,2,0,0.0,50.0,50.0
2,1,M1,1,0,50.0,80.0,30.0
3,1,M1,0,0,80.0,97.0,17.0
4,1,M1,2,0,97.0,147.0,50.0
5,1,M1,1,0,147.0,177.0,30.0
6,1,M1,1,0,177.0,207.0,30.0
7,1,M1,0,0,207.0,224.0,17.0
8,1,M1,2,0,224.0,274.0,50.0
9,1,M1,1,1,274.0,324.0,50.0
10,1,M1,1,1,324.0,374.0,50.0
11,1,M1,0,0,374.0,391.0,17.0
12,1,M1,2,0,391.0,441.0,50.0
13,1,M1,1,1,441.0,491.0,50.0
14,1,M1,1,1,491.0,541.0,50.0
15,1,M1,1,1,541.0,591.0,50.0
16,1,M1,1,1,591.0,641.0,50.0
17,1,M1,1,0,641.0,671.0,30.0
18,1,M1,1,1,671.0,721.0,50.0
19,1,M1,0,0,721.0,738.0,17.0
20,1,M1,2,0,738.0,788.0,50.0
21,1,M1,1,0,788.0,818.0,30.0
22,1,M1,1,1,818.0,868.0,50.0
23,1,M1,0,0,868.0,885.0,17.0
24,1,M1,0,1,885.0,925.0,40.0
25,1,M1,2,0,925.0,975.0,50.0
26,1,M1,1,0,975.0,1005.0,30.0
27,1,M1,1,1,1005.0,1055.0,50.0
28,1,M1,1,0,1055.0,1085.0,30.0
29,1,M1,1,1,1085.0,1135.0,50.0
30,1,M1,2,0,1135.0,1185.0,50.0
31,1,M1,1,1,1185.0,1235.0,50.0
32,1,M1,0,0,1235.0,1252.0,17.0
33,1,M1,1,0,1252.0,1282.0,30.0
34,1,M1,1,1,1282.0,1332.0,50.0
35,1,M1,2,0,1332.0,1382.0,50.0
36,1,M1,1,1,1382.0,1432.0,50.0
37,1,M1,0,0,1432.0,1449.0,17.0
38,1,M1,2,0,1449.0,1499.0,50.0
39,1,M1,1,0,1499.0,1529.0,30.0
40,1,M1,1,1,1529.0,1579.0,50.0
41,1,M1,0,0,1579.0,1596.0,17.0
42,1,M1,1,0,1596.0,1626.0,30.0
43,1,M1,1,1,1626.0,1676.0,50.0
44,1,M1,2,0,1676.0,1726.0,50.0
45,1,M1,1,1,1726.0,1776.0,50.0
46,1,M1,0,0,1776.0,1793.0,17.0
47,1,M1,1,0,1793.0,1823.0,30.0
48,1,M1,1,1,1823.0,1873.0,50.0
49,1,M1,2,0,1873.0,1923.0,50.0
50,1,M1,0,0,1923.0,1940.0,17.0
51,1,M1,1,0,1940.0,1970.0,30.0
52,1,M1,1,1,1970.0,2020.0,50.0
53,1,M1,2,0,2020.0,2070.0,50.0
54,1,M1,1,0,2070.0,2100.0,30.0
55,1,M1,1,1,2100.0,2150.0,50.0
56,1,M1,0,0,2150.0,2167.0,17.0
57,1,M1,1,0,2167.0,2197.0,30.0
58,1,M1,1,1,2197.0,2247.0,50.0
59,1,M1,2,0,2247.0,2297.0,50.0
60,1,M1,1,0,2297.0,2327.0,30.0
61,1,M1,1,1,2327.0,2377.0,50.0
62,1,M1,2,0,2377.0,2427.0,50.0
63,1,M1,1,0,2427.0,2457.0,30.0
64,1,M1,1,1,2457.0,2507.0,50.0
65,1,M1,0,0,2507.0,2524.0,17.0
66,1,M1,0,1,2524.0,2564.0,40.0
67,1,M1,1,0,2564.0,2594.0,30.0
68,1,M1,1,1,2594.0,2644.0,50.0
69,1,M1,0,0,2644.0,2661.0,17.0
70,1,M1,0,1,2661.0,2701.0,40.0
71,1,M1,1,1,2701.0,2751.0,50.0
72,1,M1,2,0,2751.0,2801.0,50.0
73,1,M1,1,0,2801.0,2831.0,30.0
74,1,M1,1,1,2831.0,2881.0,50.0
75,1,M1,0,0,2881.0,2898.0,17.0
76,1,M1,0,1,2898.0,2938.0,40.0
77,1,M1,1,1,2938.0,2988.0,50.0
78,1,M1,2,0,2988.0,3038.0,50.0
79,1,M1,1,0,3038.0,3068.0,30.0
80,1,M1,1,1,3068.0,3118.0,50.0
81,1,M1,2,0,3118.0,3168.0,50.0
82,1,M1,1,0,3168.0,3198.0,30.0
83,1,M1,1,1,3198.0,3248.0,50.0
84,1,M1,0,0,3248.0,3265.0,17.0
85,1,M1,0,1,3265.0,3305.0,40.0
86,1,M1,1,0,3305.0,3335.0,30.0
87,1,M1,1,1,3335.0,3385.0,50.0
88,1,M1,0,0,3385.0,3402.0,17.0
89,1,M1,0,1,3402.0,3442.0,40.0
90,1,M1,1,0,3442.0,3472.0,30.0
91,1,M1,1,1,3472.0,3522.0,50.0
92,1,M1,2,0,3522.0,3572.0,50.0
93,1,M1,0,0,3572.0,3589.0,17.0
94,1,M1,0,1,3589.0,3629.0,40.0
95,1,M1,1,0,3629.0,3659.0,30.0
96,1,M1,1,1,3659.0,3709.0,50.0
97,1,M1,2,0,3709.0,3759.0,50.0
98,1,M1,0,0,3759.0,3776.0,17.0
99,1,M1,0,1,3776.0,3816.0,40.0
100,1,M1,1,0,3816.0,3846.0,30.0
101,1,M1,1,1,3846.0,3896.0,50.0
102,1,M1,1,0,3896.0,3926.0,30.0
103,1,M1,1,1,3926.0,3976.0,50.0
104,1,M1,0,0,3976.0,3993.0,17.0
105,1,M1,0,1,3993.0,4033.0,40.0
106,1,M1,1,0,4033.0,4063.0,30.0
107,1,M1,1,1,4063.0,4113.0,50.0
108,1,M1,0,0,4113.0,4130.0,17.0
109,1,M1,0,1,4130.0,4170.0,40.0
110,1,M1,1,0,4170.0,4200.0,30.0
111,1,M1,1,1,4200.0,4250.0,50.0
112,1,M1,2,0,4250.0,4300.0,50.0
113,1,M1,0,0,4300.0,4317.0,17.0
114,1,M1,0,1,4317.0,4357.0,40.0
115,1,M1,1,0,4357.0,4387.0,30.0
116,1,M1,1,1,4387.0,4437.0,50.0
117,1,M1,2,0,4437.0,4487.0,50.0
118,1,M1,1,0,4487.0,4517.0,30.0
119,1,M1,1,1,4517.0,4567.0,50.0
120,1,M1,1,0,4567.0,4597.0,30.0
121,1,M1,1,1,4597.0,4647.0,50.0
122,1,M1,0,1,4647.0,4687.0,40.0
123,1,M1,1,1,4687.0,4737.0,50.0
124,1,M1,1,1,4737.0,4787.0,50.0
125,1,M1,2,0,4787.0,4837.0,50.0
126,1,M1,2,0,4837.0,4887.0,50.0
127,1,M1,0,0,4887.0,4904.0,17.0
128,1,M1,0,0,4904.0,4921.0,17.0
129,1,M1,0,0,4921.0,4938.0,17.0
130,1,M1,0,0,4938.0,4955.0,17.0
131,1,M1,2,0,4955.0,5005.0,50.0
132,1,M1,1,0,5005.0,5035.0,30.0
133,1,M1,1,1,5035.0,5085.0,50.0
134,1,M1,2,0,5085.0,5135.0,50.0
135,1,M1,1,0,5135.0,5165.0,30.0
136,1,M1,1,1,5165.0,5215.0,50.0
137,1,M1,2,0,5215.0,5265.0,50.0
138,1,M1,2,0,5265.0,5315.0,50.0
139,1,M1,1,0,5315.0,5345.0,30.0
140,1,M1,1,1,5345.0,5395.0,50.0
141,1,M1,1,0,5395.0,5425.0,30.0
142,1,M1,1,1,5425.0,5475.0,50.0
143,1,M1,1,1,5475.0,5525.0,50.0
144,1,M1,0,1,5525.0,5565.0,40.0
145,1,M1,1,0,5565.0,5595.0,30.0
146,1,M1,1,1,5595.0,5645.0,50.0
147,1,M1,1,0,5645.0,5675.0,30.0
148,1,M1,1,1,5675.0,5725.0,50.0
149,2,M2,0,0,0.0,25.0,25.0
150,2,M2,0,1,25.0,55.0,30.0
151,2,M2,0,2,55.0,105.0,50.0
152,2,M2,0,1,105.0,135.0,30.0
153,2,M2,0,2,135.0,185.0,50.0
154,2,M2,2,1,185.0,255.0,70.0
155,2,M2,2,2,255.0,345.0,90.0
156,2,M2,0,1,345.0,375.0,30.0
157,2,M2,0,2,375.0,425.0,50.0
158,2,M2,2,1,425.0,495.0,70.0
159,2,M2,1,2,495.0,565.0,70.0
160,2,M2,0,1,565.0,595.0,30.0
161,2,M2,0,2,595.0,645.0,50.0
162,2,M2,1,2,645.0,715.0,70.0
163,2,M2,2,2,715.0,805.0,90.0
164,2,M2,0,1,805.0,835.0,30.0
165,2,M2,0,2,835.0,885.0,50.0
166,2,M2,1,2,885.0,955.0,70.0
167,2,M2,0,2,955.0,1005.0,50.0
168,2,M2,0,0,1005.0,1030.0,25.0
169,2,M2,0,1,1030.0,1060.0,30.0
170,2,M2,0,2,1060.0,1110.0,50.0
171,2,M2,2,2,1110.0,1200.0,90.0
172,2,M2,2,1,1200.0,1270.0,70.0
173,2,M2,2,2,1270.0,1360.0,90.0
174,2,M2,0,1,1360.0,1390.0,30.0
175,2,M2,0,2,1390.0,1440.0,50.0
