seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,1,0,0.0,214.0,214.0
2,1,M1,0,0,214.0,331.0,117.0
3,1,M1,0,0,331.0,448.0,117.0
4,1,M1,0,0,448.0,565.0,117.0
5,1,M1,0,0,565.0,682.0,117.0
6,1,M1,0,0,682.0,799.0,117.0
7,1,M1,0,0,799.0,916.0,117.0
8,1,M1,1,0,916.0,1130.0,214.0
9,1,M1,1,0,1130.0,1344.0,214.0
10,1,M1,0,0,1344.0,1461.0,117.0
11,1,M1,0,0,1461.0,1578.0,117.0
12,1,M1,1,0,1578.0,1792.0,214.0
13,1,M1,1,0,1792.0,2006.0,214.0
14,1,M1,1,0,2006.0,2220.0,214.0
15,1,M1,1,0,2220.0,2434.0,214.0
16,1,M1,0,0,2434.0,2551.0,117.0
17,1,M1,0,0,2551.0,2668.0,117.0
18,1,M1,1,0,2668.0,2882.0,214.0
19,1,M1,0,0,2882.0,2999.0,117.0
20,1,M1,0,0,2999.0,3116.0,117.0
21,1,M1,0,0,3116.0,3233.0,117.0
22,1,M1,1,0,3233.0,3447.0,214.0
23,1,M1,1,0,3447.0,3661.0,214.0
24,1,M1,1,0,3661.0,3875.0,214.0
25,1,M1,0,0,3875.0,3992.0,117.0
26,1,M1,0,0,3992.0,4109.0,117.0
27,1,M1,0,0,4109.0,4226.0,117.0
28,1,M1,1,0,4226.0,4440.0,214.0
29,1,M1,1,0,4440.0,4654.0,214.0
30,1,M1,1,0,4654.0,4868.0,214.0
31,1,M1,0,0,4868.0,4985.0,117.0
32,1,M1,0,0,4985.0,5102.0,117.0
33,1,M1,1,0,5102.0,5316.0,214.0
34,1,M1,1,0,5316.0,5530.0,214.0
35,1,M1,1,0,5530.0,5744.0,214.0
36,2,M2,2,0,0.0,62.0,62.0
37,2,M2,2,0,62.0,124.0,62.0
38,2,M2,2,0,124.0,186.0,62.0
39,2,M2,1,1,186.0,252.0,66.0
40,2,M2,1,1,252.0,318.0,66.0
41,2,M2,1,1,318.0,384.0,66.0
42,2,M2,2,0,384.0,446.0,62.0
43,2,M2,2,0,446.0,508.0,62.0
44,2,M2,1,1,508.0,574.0,66.0
45,2,M2,0,1,574.0,704.0,130.0
46,2,M2,1,1,704.0,770.0,66.0
47,2,M2,1,1,770.0,836.0,66.0
48,2,M2,2,0,836.0,898.0,62.0
49,2,M2,0,1,898.0,1028.0,130.0
50,2,M2,1,1,1028.0,1094.0,66.0
51,2,M2,1,1,1094.0,1160.0,66.0
52,2,M2,1,1,1160.0,1226.0,66.0
53,2,M2,1,1,1226.0,1292.0,66.0
54,2,M2,2,0,1292.0,1354.0,62.0
55,2,M2,1,1,1354.0,1420.0,66.0
56,2,M2,1,1,1420.0,1486.0,66.0
57,2,M2,0,1,1486.0,1616.0,130.0
58,2,M2,1,1,1616.0,1682.0,66.0
59,2,M2,1,1,1682.0,1748.0,66.0
60,2,M2,2,0,1748.0,1810.0,62.0
61,2,M2,1,1,1810.0,1876.0,66.0
62,2,M2,1,1,1876.0,1942.0,66.0
63,2,M2,0,1,1942.0,2072.0,130.0
64,2,M2,1,1,2072.0,2138.0,66.0
65,2,M2,1,1,2138.0,2204.0,66.0
66,2,M2,1,1,2204.0,2270.0,66.0
67,2,M2,1,1,2270.0,2336.0,66.0
68,2,M2,2,0,2336.0,2398.0,62.0
69,2,M2,1,1,2398.0,2464.0,66.0
70,2,M2,1,1,2464.0,2530.0,66.0
71,2,M2,2,0,2530.0,2592.0,62.0
72,2,M2,1,1,2592.0,2658.0,66.0
73,2,M2,2,0,2658.0,2720.0,62.0
74,2,M2,1,1,2720.0,2786.0,66.0
75,2,M2,1,1,2786.0,2852.0,66.0
76,2,M2,1,1,2852.0,2918.0,66.0
77,2,M2,1,1,2918.0,2984.0,66.0
78,2,M2,2,0,2984.0,3046.0,62.0
79,2,M2,2,0,3046.0,3108.0,62.0
80,2,M2,1,1,3108.0,3174.0,66.0
81,2,M2,2,0,3174.0,3236.0,62.0
82,2,M2,0,1,3236.0,3366.0,130.0
83,2,M2,1,1,3366.0,3432.0,66.0
84,2,M2,1,1,3432.0,3498.0,66.0
85,2,M2,1,1,3498.0,3564.0,66.0
86,2,M2,0,1,3564.0,3694.0,130.0
87,2,M2,1,1,3694.0,3760.0,66.0
88,2,M2,1,1,3760.0,3826.0,66.0
89,2,M2,1,1,3826.0,3892.0,66.0
90,2,M2,1,1,3892.0,3958.0,66.0
91,2,M2,2,0,3958.0,4020.0,62.0
92,2,M2,1,1,4020.0,4086.0,66.0
93,2,M2,2,0,4086.0,4148.0,62.0
94,2,M2,2,0,4148.0,4210.0,62.0
95,2,M2,1,1,4210.0,4276.0,66.0
96,2,M2,2,0,4276.0,4338.0,62.0
97,2,M2,0,1,4338.0,4468.0,130.0
98,2,M2,1,1,4468.0,4534.0,66.0
99,2,M2,1,1,4534.0,4600.0,66.0
100,2,M2,2,0,4600.0,4662.0,62.0
101,2,M2,1,1,4662.0,4728.0,66.0
102,2,M2,1,1,4728.0,4794.0,66.0
103,2,M2,0,1,4794.0,4924.0,130.0
104,2,M2,1,1,4924.0,4990.0,66.0
105,2,M2,0,1,4990.0,5120.0,130.0
106,2,M2,2,0,5120.0,5182.0,62.0
107,2,M2,1,1,5316.0,5382.0,66.0
108,2,M2,1,1,5420.0,5486.0,66.0
109,2,M2,1,1,5530.0,5596.0,66.0
110,2,M2,1,1,5744.0,5810.0,66.0
111,3,M3,1,0,0.0,150.0,150.0
112,3,M3,1,0,150.0,300.0,150.0
113,3,M3,1,0,300.0,450.0,150.0
114,3,M3,1,0,450.0,600.0,150.0
115,3,M3,1,0,600.0,750.0,150.0
116,3,M3,1,0,750.0,900.0,150.0
117,3,M3,1,0,900.0,1050.0,150.0
118,3,M3,1,0,1050.0,1200.0,150.0
119,3,M3,1,0,1200.0,1350.0,150.0
120,3,M3,1,0,1350.0,1500.0,150.0
121,3,M3,1,0,1500.0,1650.0,150.0
122,3,M3,1,0,1650.0,1800.0,150.0
123,3,M3,1,0,1800.0,1950.0,150.0
124,3,M3,1,0,1950.0,2100.0,150.0
125,3,M3,1,0,2100.0,2250.0,150.0
126,3,M3,1,0,2250.0,2400.0,150.0
127,3,M3,1,0,2400.0,2550.0,150.0
128,3,M3,1,0,2550.0,2700.0,150.0
129,3,M3,1,0,2700.0,2850.0,150.0
130,3,M3,1,2,2850.0,2915.0,65.0
131,3,M3,1,0,2915.0,3065.0,150.0
132,3,M3,1,2,3065.0,3130.0,65.0
133,3,M3,1,0,3130.0,3280.0,150.0
134,3,M3,1,0,3280.0,3430.0,150.0
135,3,M3,1,0,3430.0,3580.0,150.0
136,3,M3,1,2,3580.0,3645.0,65.0
137,3,M3,1,0,3645.0,3795.0,150.0
138,3,M3,1,2,3795.0,3860.0,65.0
139,3,M3,1,0,3860.0,4010.0,150.0
140,3,M3,1,0,4010.0,4160.0,150.0
141,3,M3,1,0,4160.0,4310.0,150.0
142,3,M3,1,1,4310.0,4365.0,55.0
143,3,M3,1,0,4365.0,4515.0,150.0
144,3,M3,1,0,4515.0,4665.0,150.0
145,3,M3,1,2,4665.0,4730.0,65.0
146,3,M3,1,0,4730.0,4880.0,150.0
147,3,M3,1,1,4880.0,4935.0,55.0
148,3,M3,1,2,4935.0,5000.0,65.0
149,3,M3,1,0,5000.0,5150.0,150.0
150,3,M3,1,1,5150.0,5205.0,55.0
151,3,M3,1,2,5205.0,5270.0,65.0
152,3,M3,1,0,5270.0,5420.0,150.0
153,3,M3,1,0,5420.0,5570.0,150.0
154,3,M3,1,1,5570.0,5625.0,55.0
155,3,M3,1,2,5625.0,5690.0,65.0
156,3,M3,1,2,5810.0,5875.0,65.0
157,4,M4,2,1,62.0,132.0,70.0
158,4,M4,2,1,132.0,202.0,70.0
159,4,M4,2,1,202.0,272.0,70.0
160,4,M4,0,1,331.0,471.0,140.0
161,4,M4,0,2,471.0,621.0,150.0
162,4,M4,2,1,621.0,691.0,70.0
163,4,M4,0,1,691.0,831.0,140.0
164,4,M4,0,2,831.0,981.0,150.0
165,4,M4,0,2,981.0,1131.0,150.0
166,4,M4,0,2,1131.0,1281.0,150.0
167,4,M4,2,1,1281.0,1351.0,70.0
168,4,M4,2,1,1351.0,1421.0,70.0
169,4,M4,2,1,1421.0,1491.0,70.0
170,4,M4,0,1,1491.0,1631.0,140.0
171,4,M4,0,2,1631.0,1781.0,150.0
172,4,M4,0,2,1781.0,1931.0,150.0
173,4,M4,2,1,1931.0,2001.0,70.0
174,4,M4,0,1,2001.0,2141.0,140.0
175,4,M4,0,2,2141.0,2291.0,150.0
