variant_name,epoch,round_id,round_pos,instance_id,instance_occurrence,lr,train_loss,train_rollout_cmax,current_objective,train_time_sec,eval_time_sec,cycle_time_sec,running_cb,running_ca
ablation_no_zero_mask,1,1,1,P1,1,0.0001,-0.09580070246011019,6665.0,7077.0,15.178588151931763,2.1599674224853516,17.338555574417114,7077.0,7077.0
ablation_no_zero_mask,2,1,2,P2,1,9.995833333333334e-05,0.04553184099495411,9165.0,9825.0,42.152013540267944,2.6619350910186768,44.81394863128662,9825.0,9825.0
ablation_no_zero_mask,3,1,3,P3,1,9.991666666666666e-05,0.01846445197588764,6528.0,6055.0,29.923832178115845,1.9213924407958984,31.845224618911743,6055.0,6055.0
ablation_no_zero_mask,4,1,4,P4,1,9.9875e-05,-0.04270559083670378,4204.0,4722.0,23.59807825088501,1.469738483428955,25.067816734313965,4722.0,4722.0
ablation_no_zero_mask,5,1,5,P5,1,9.983333333333334e-05,0.0072001771768555045,4931.0,5294.0,25.493396282196045,1.6011466979980469,27.094542980194092,5294.0,5294.0
ablation_no_zero_mask,6,1,6,P6,1,9.979166666666668e-05,0.023780545219779015,4818.0,5095.0,26.501500844955444,1.672966480255127,28.17446732521057,5095.0,5095.0
ablation_no_zero_mask,7,1,7,P7,1,9.975000000000001e-05,0.0290314182639122,6650.0,6590.0,40.32872247695923,2.50761079788208,42.83633327484131,6590.0,6590.0
ablation_no_zero_mask,8,1,8,P8,1,9.970833333333334e-05,-0.022938596550375223,6610.0,6360.0,14.83610987663269,0.8744447231292725,15.710554599761963,6360.0,6360.0
ablation_no_zero_mask,9,1,9,P9,1,9.966666666666667e-05,0.007054672751110047,6020.0,6010.0,13.05721926689148,0.8446865081787109,13.90190577507019,6010.0,6010.0
ablation_no_zero_mask,10,1,10,P10,1,9.9625e-05,0.013171087251976132,6884.0,6424.0,7.929638147354126,0.5301878452301025,8.459825992584229,6424.0,6424.0
ablation_no_zero_mask,11,1,11,P11,1,9.958333333333335e-05,-0.0323891534935683,13054.0,12352.0,15.159433126449585,1.0403075218200684,16.199740648269653,12352.0,12352.0
ablation_no_zero_mask,12,1,12,P12,1,9.954166666666667e-05,0.016295315814204514,13787.0,14238.0,18.254066705703735,1.1935522556304932,19.44761896133423,14238.0,14238.0
ablation_no_zero_mask,13,1,13,P13,1,9.95e-05,0.03445477795321494,25018.0,26499.0,45.99367928504944,3.3516416549682617,49.3453209400177,26499.0,26499.0
ablation_no_zero_mask,14,1,14,P14,1,9.945833333333334e-05,-0.01587956602452323,27785.0,29634.0,46.08925437927246,3.2994332313537598,49.38868761062622,29634.0,29634.0
