seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,10,0,0.0,5.0,5.0
2,1,M1,2,2,5.0,6.0,1.0
3,1,M1,11,1,6.0,11.0,5.0
4,1,M1,2,4,11.0,14.0,3.0
5,1,M1,9,2,14.0,20.0,6.0
6,1,M1,9,2,20.0,26.0,6.0
7,1,M1,2,8,26.0,33.0,7.0
8,1,M1,2,2,33.0,34.0,1.0
9,1,M1,9,2,34.0,40.0,6.0
10,1,M1,2,4,40.0,43.0,3.0
11,1,M1,11,1,43.0,48.0,5.0
12,1,M1,11,1,48.0,53.0,5.0
13,1,M1,2,2,53.0,54.0,1.0
14,1,M1,2,2,54.0,55.0,1.0
15,1,M1,10,0,55.0,60.0,5.0
16,1,M1,2,4,60.0,63.0,3.0
17,1,M1,2,4,63.0,66.0,3.0
18,1,M1,2,8,66.0,73.0,7.0
19,1,M1,2,2,73.0,74.0,1.0
20,1,M1,5,3,74.0,78.0,4.0
21,1,M1,0,6,78.0,79.0,1.0
22,1,M1,10,0,79.0,84.0,5.0
23,1,M1,2,8,84.0,91.0,7.0
24,1,M1,2,4,91.0,94.0,3.0
25,1,M1,0,6,94.0,95.0,1.0
26,1,M1,2,8,95.0,102.0,7.0
27,1,M1,5,3,102.0,106.0,4.0
28,1,M1,6,0,106.0,110.0,4.0
29,1,M1,4,3,110.0,124.0,14.0
30,1,M1,2,8,124.0,131.0,7.0
31,1,M1,11,6,131.0,141.0,10.0
32,1,M1,10,0,141.0,146.0,5.0
33,1,M1,6,0,146.0,150.0,4.0
34,1,M1,4,3,150.0,164.0,14.0
35,1,M1,5,3,164.0,168.0,4.0
36,1,M1,6,4,168.0,172.0,4.0
37,1,M1,4,3,172.0,186.0,14.0
38,1,M1,2,2,186.0,187.0,1.0
39,1,M1,2,2,187.0,188.0,1.0
40,1,M1,2,2,188.0,189.0,1.0
41,1,M1,2,2,189.0,190.0,1.0
42,1,M1,6,4,190.0,194.0,4.0
43,1,M1,6,6,194.0,195.0,1.0
44,1,M1,9,2,195.0,201.0,6.0
45,1,M1,0,6,201.0,202.0,1.0
46,1,M1,2,4,202.0,205.0,3.0
47,1,M1,6,6,205.0,206.0,1.0
48,1,M1,2,4,206.0,209.0,3.0
49,1,M1,2,4,209.0,212.0,3.0
50,1,M1,2,4,212.0,215.0,3.0
51,1,M1,6,0,215.0,219.0,4.0
52,1,M1,9,2,219.0,225.0,6.0
53,1,M1,10,0,225.0,230.0,5.0
54,1,M1,5,3,230.0,234.0,4.0
55,1,M1,6,0,234.0,238.0,4.0
56,1,M1,2,8,238.0,245.0,7.0
57,1,M1,2,8,245.0,252.0,7.0
58,1,M1,2,8,252.0,259.0,7.0
59,1,M1,0,6,259.0,260.0,1.0
60,1,M1,2,8,260.0,267.0,7.0
61,1,M1,0,6,267.0,268.0,1.0
62,1,M1,9,2,268.0,274.0,6.0
63,1,M1,4,3,274.0,288.0,14.0
64,1,M1,10,0,288.0,293.0,5.0
65,1,M1,11,1,293.0,298.0,5.0
66,1,M1,6,0,298.0,302.0,4.0
67,1,M1,10,0,302.0,307.0,5.0
68,1,M1,11,1,307.0,312.0,5.0
69,1,M1,6,4,312.0,316.0,4.0
70,1,M1,9,2,316.0,322.0,6.0
71,1,M1,6,6,322.0,323.0,1.0
72,1,M1,6,4,323.0,327.0,4.0
73,1,M1,9,2,327.0,333.0,6.0
74,1,M1,6,6,333.0,334.0,1.0
75,1,M1,4,3,334.0,348.0,14.0
76,1,M1,10,0,348.0,353.0,5.0
77,1,M1,5,3,353.0,357.0,4.0
78,1,M1,6,0,357.0,361.0,4.0
79,1,M1,11,1,361.0,366.0,5.0
80,1,M1,6,4,366.0,370.0,4.0
81,1,M1,11,6,370.0,380.0,10.0
82,1,M1,6,6,380.0,381.0,1.0
83,1,M1,0,6,381.0,382.0,1.0
84,1,M1,4,3,382.0,396.0,14.0
85,1,M1,5,3,396.0,400.0,4.0
86,1,M1,11,6,400.0,410.0,10.0
87,1,M1,0,6,410.0,411.0,1.0
88,1,M1,10,0,411.0,416.0,5.0
89,1,M1,6,4,416.0,420.0,4.0
90,1,M1,6,0,420.0,424.0,4.0
91,1,M1,6,6,424.0,425.0,1.0
92,1,M1,9,2,425.0,431.0,6.0
93,1,M1,4,3,431.0,445.0,14.0
94,1,M1,5,3,445.0,449.0,4.0
95,1,M1,4,3,449.0,463.0,14.0
96,1,M1,10,0,463.0,468.0,5.0
97,1,M1,6,4,468.0,472.0,4.0
98,1,M1,6,0,472.0,476.0,4.0
99,1,M1,9,2,476.0,482.0,6.0
100,1,M1,6,6,482.0,483.0,1.0
101,1,M1,0,6,483.0,484.0,1.0
102,1,M1,5,3,484.0,488.0,4.0
103,1,M1,10,0,488.0,493.0,5.0
104,1,M1,4,3,493.0,507.0,14.0
105,1,M1,11,1,507.0,512.0,5.0
106,1,M1,0,6,512.0,513.0,1.0
107,1,M1,9,2,513.0,519.0,6.0
108,1,M1,6,0,519.0,523.0,4.0
109,1,M1,5,3,523.0,527.0,4.0
110,1,M1,11,1,527.0,532.0,5.0
111,1,M1,10,0,532.0,537.0,5.0
112,1,M1,6,4,537.0,541.0,4.0
113,1,M1,6,0,541.0,545.0,4.0
114,1,M1,11,1,545.0,550.0,5.0
115,1,M1,11,6,550.0,560.0,10.0
116,1,M1,6,6,560.0,561.0,1.0
117,1,M1,4,3,561.0,575.0,14.0
