seq,machine,type,op,start,end,duration
197,2,1,1,5770.0,5825.0,55.0
198,2,1,0,5825.0,5975.0,150.0
199,2,1,1,5975.0,6030.0,55.0
200,2,1,0,6030.0,6180.0,150.0
201,2,1,1,6180.0,6235.0,55.0
202,2,1,0,6235.0,6385.0,150.0
203,2,1,1,6385.0,6440.0,55.0
204,2,1,2,6440.0,6505.0,65.0
205,2,1,0,6505.0,6655.0,150.0
206,2,1,1,6655.0,6710.0,55.0
207,2,1,1,6710.0,6765.0,55.0
208,2,1,0,6765.0,6915.0,150.0
209,2,1,1,6915.0,6970.0,55.0
210,2,1,0,6970.0,7120.0,150.0
211,2,1,1,7120.0,7175.0,55.0
212,2,1,0,7175.0,7325.0,150.0
213,2,1,2,7325.0,7390.0,65.0
214,2,1,1,7390.0,7445.0,55.0
215,2,1,0,7445.0,7595.0,150.0
216,2,1,1,7595.0,7650.0,55.0
217,2,1,2,7650.0,7715.0,65.0
218,2,1,1,7715.0,7770.0,55.0
219,2,1,2,7770.0,7835.0,65.0
220,2,1,2,7835.0,7900.0,65.0
221,2,1,1,7990.0,8045.0,55.0
222,2,1,2,8045.0,8110.0,65.0
223,3,2,1,62.0,132.0,70.0
224,3,2,1,132.0,202.0,70.0
225,3,0,1,234.0,374.0,140.0
226,3,0,1,374.0,514.0,140.0
227,3,2,1,514.0,584.0,70.0
228,3,2,1,584.0,654.0,70.0
229,3,0,2,654.0,804.0,150.0
230,3,2,1,804.0,874.0,70.0
231,3,0,2,874.0,1024.0,150.0
232,3,0,2,1024.0,1174.0,150.0
233,3,0,1,1174.0,1314.0,140.0
234,3,2,1,1314.0,1384.0,70.0
235,3,0,1,1384.0,1524.0,140.0
236,3,2,1,1524.0,1594.0,70.0
237,3,2,1,1594.0,1664.0,70.0
238,3,0,2,1664.0,1814.0,150.0
239,3,2,1,1814.0,1884.0,70.0
240,3,0,2,1884.0,2034.0,150.0
241,3,0,2,2034.0,2184.0,150.0
242,3,2,1,2184.0,2254.0,70.0
243,3,2,1,2254.0,2324.0,70.0
244,3,0,1,2324.0,2464.0,140.0
245,3,0,2,2464.0,2614.0,150.0
246,3,0,2,2614.0,2764.0,150.0
247,3,0,2,2764.0,2914.0,150.0
248,3,0,2,2914.0,3064.0,150.0
249,3,2,1,3064.0,3134.0,70.0
250,3,2,1,3134.0,3204.0,70.0
251,3,0,2,3204.0,3354.0,150.0
252,3,0,2,3354.0,3504.0,150.0
253,3,2,1,3504.0,3574.0,70.0
254,3,2,1,3574.0,3644.0,70.0
255,3,0,2,3644.0,3794.0,150.0
256,3,0,2,3794.0,3944.0,150.0
257,3,2,1,3944.0,4014.0,70.0
258,3,2,1,4014.0,4084.0,70.0
259,3,0,1,4084.0,4224.0,140.0
260,3,0,2,4224.0,4374.0,150.0
261,3,0,2,4374.0,4524.0,150.0
262,3,2,1,4524.0,4594.0,70.0
263,3,0,2,4594.0,4744.0,150.0
264,3,2,1,4744.0,4814.0,70.0
265,3,0,2,4814.0,4964.0,150.0
266,3,2,1,4964.0,5034.0,70.0
267,3,2,1,5034.0,5104.0,70.0
268,3,0,2,5104.0,5254.0,150.0
269,3,0,2,5254.0,5404.0,150.0
270,3,2,1,5404.0,5474.0,70.0
271,3,2,1,5474.0,5544.0,70.0
272,3,0,2,5544.0,5694.0,150.0
273,3,0,2,5694.0,5844.0,150.0
274,3,0,2,5844.0,5994.0,150.0
275,3,2,1,5994.0,6064.0,70.0
276,3,0,2,6064.0,6214.0,150.0
277,3,2,1,6214.0,6284.0,70.0
278,3,2,1,6284.0,6354.0,70.0
279,3,0,2,6354.0,6504.0,150.0
280,3,2,1,6504.0,6574.0,70.0
281,3,0,2,6574.0,6724.0,150.0
282,3,0,2,6724.0,6874.0,150.0
283,3,0,2,6874.0,7024.0,150.0
284,3,2,1,7024.0,7094.0,70.0
285,3,2,1,7094.0,7164.0,70.0
286,3,0,2,7164.0,7314.0,150.0
287,3,2,1,7314.0,7384.0,70.0
288,3,0,2,7384.0,7534.0,150.0
289,3,0,2,7534.0,7684.0,150.0
290,3,0,2,7684.0,7834.0,150.0
291,3,0,2,7834.0,7984.0,150.0
292,4,2,2,132.0,232.0,100.0
293,4,2,2,232.0,332.0,100.0
294,4,0,2,332.0,492.0,160.0
295,4,0,2,492.0,652.0,160.0
296,4,1,2,652.0,730.0,78.0
297,4,1,2,730.0,808.0,78.0
298,4,1,2,808.0,886.0,78.0
299,4,2,2,886.0,986.0,100.0
300,4,1,2,986.0,1064.0,78.0
301,4,0,2,1064.0,1224.0,160.0
302,4,2,2,1224.0,1324.0,100.0
303,4,1,2,1324.0,1402.0,78.0
304,4,1,2,1402.0,1480.0,78.0
305,4,2,2,1480.0,1580.0,100.0
306,4,0,2,1580.0,1740.0,160.0
307,4,1,2,1740.0,1818.0,78.0
308,4,2,2,1818.0,1918.0,100.0
309,4,1,2,1918.0,1996.0,78.0
310,4,2,2,1996.0,2096.0,100.0
311,4,1,2,2096.0,2174.0,78.0
312,4,0,2,2174.0,2334.0,160.0
313,4,2,2,2334.0,2434.0,100.0
314,4,1,2,2434.0,2512.0,78.0
