seq,compact_machine_id,compact_machine_label,type,op,start,end,duration
1,1,M1,10,0,0.0,3.0,3.0
2,1,M1,10,0,3.0,6.0,3.0
3,1,M1,10,0,6.0,9.0,3.0
4,1,M1,10,0,9.0,12.0,3.0
5,1,M1,9,3,12.0,14.0,2.0
6,1,M1,9,4,14.0,19.0,5.0
7,1,M1,9,5,19.0,23.0,4.0
8,1,M1,7,3,23.0,24.0,1.0
9,1,M1,10,0,24.0,27.0,3.0
10,1,M1,7,3,27.0,28.0,1.0
11,1,M1,7,3,31.0,32.0,1.0
12,1,M1,2,5,32.0,41.0,9.0
13,1,M1,2,5,41.0,50.0,9.0
14,1,M1,8,8,50.0,51.0,1.0
15,1,M1,8,8,51.0,52.0,1.0
16,1,M1,2,5,52.0,61.0,9.0
17,1,M1,13,5,61.0,67.0,6.0
18,1,M1,9,3,67.0,69.0,2.0
19,1,M1,9,4,69.0,74.0,5.0
20,1,M1,7,3,74.0,75.0,1.0
21,1,M1,9,5,75.0,79.0,4.0
22,1,M1,13,5,79.0,85.0,6.0
23,1,M1,8,8,85.0,86.0,1.0
24,1,M1,9,3,86.0,88.0,2.0
25,1,M1,9,4,88.0,93.0,5.0
26,1,M1,9,5,93.0,97.0,4.0
27,1,M1,13,5,97.0,103.0,6.0
28,1,M1,2,5,103.0,112.0,9.0
29,1,M1,8,8,117.0,118.0,1.0
30,1,M1,9,3,120.0,122.0,2.0
31,1,M1,9,4,122.0,127.0,5.0
32,1,M1,7,3,127.0,128.0,1.0
33,1,M1,13,5,128.0,134.0,6.0
34,1,M1,9,5,134.0,138.0,4.0
35,1,M1,9,4,141.0,146.0,5.0
36,1,M1,9,5,146.0,150.0,4.0
37,1,M1,13,5,153.0,159.0,6.0
38,1,M1,8,8,159.0,160.0,1.0
39,2,M2,0,1,1.0,5.0,4.0
40,2,M2,0,1,5.0,9.0,4.0
41,2,M2,9,2,9.0,10.0,1.0
42,2,M2,8,4,10.0,12.0,2.0
43,2,M2,7,1,12.0,13.0,1.0
44,2,M2,3,4,13.0,16.0,3.0
45,2,M2,8,4,16.0,18.0,2.0
46,2,M2,7,1,18.0,19.0,1.0
47,2,M2,0,1,19.0,23.0,4.0
48,2,M2,3,4,23.0,26.0,3.0
49,2,M2,7,1,26.0,27.0,1.0
50,2,M2,0,1,27.0,31.0,4.0
51,2,M2,14,3,31.0,40.0,9.0
52,2,M2,3,4,40.0,43.0,3.0
53,2,M2,8,7,43.0,47.0,4.0
54,2,M2,8,7,47.0,51.0,4.0
55,2,M2,14,3,51.0,60.0,9.0
56,2,M2,0,1,60.0,64.0,4.0
57,2,M2,9,2,64.0,65.0,1.0
58,2,M2,7,1,65.0,66.0,1.0
59,2,M2,8,4,69.0,71.0,2.0
60,2,M2,8,4,72.0,74.0,2.0
61,2,M2,8,7,79.0,83.0,4.0
62,2,M2,9,2,83.0,84.0,1.0
63,2,M2,3,4,92.0,95.0,3.0
64,2,M2,14,3,95.0,104.0,9.0
65,2,M2,11,1,104.0,113.0,9.0
66,2,M2,8,7,113.0,117.0,4.0
67,2,M2,8,4,117.0,119.0,2.0
68,2,M2,9,2,119.0,120.0,1.0
69,2,M2,7,1,120.0,121.0,1.0
70,2,M2,14,3,129.0,138.0,9.0
71,2,M2,9,2,138.0,139.0,1.0
72,2,M2,3,4,139.0,142.0,3.0
73,2,M2,14,3,142.0,151.0,9.0
74,2,M2,8,7,151.0,155.0,4.0
75,3,M3,5,2,5.0,9.0,4.0
76,3,M3,5,2,9.0,13.0,4.0
77,3,M3,0,3,13.0,14.0,1.0
78,3,M3,10,3,14.0,16.0,2.0
79,3,M3,0,5,16.0,18.0,2.0
80,3,M3,0,3,18.0,19.0,1.0
81,3,M3,10,3,19.0,21.0,2.0
82,3,M3,5,2,21.0,25.0,4.0
83,3,M3,14,1,25.0,26.0,1.0
84,3,M3,0,5,26.0,28.0,2.0
85,3,M3,10,3,28.0,30.0,2.0
86,3,M3,10,3,30.0,32.0,2.0
87,3,M3,10,6,32.0,40.0,8.0
88,3,M3,10,3,40.0,42.0,2.0
89,3,M3,14,1,42.0,43.0,1.0
90,3,M3,0,3,43.0,44.0,1.0
91,3,M3,0,5,46.0,48.0,2.0
92,3,M3,4,2,48.0,51.0,3.0
93,3,M3,0,3,51.0,52.0,1.0
94,3,M3,10,6,52.0,60.0,8.0
95,3,M3,10,6,60.0,68.0,8.0
96,3,M3,0,5,68.0,70.0,2.0
97,3,M3,11,2,70.0,75.0,5.0
98,3,M3,4,2,75.0,78.0,3.0
99,3,M3,5,2,78.0,82.0,4.0
100,3,M3,10,6,82.0,90.0,8.0
